addr:city,addr:country,addr:full,addr:housenumber,addr:housename,addr:postcode,addr:place,addr:street,email,name,opening_hours,operator,phone,ref,url,website,building,amenity,building:flats,building:levels,building:material,building:use,craft,height,internet_access,landuse,office,shop,source,start_date,wikipedia,id,timestamp,version,changeset,geometry,tags,osm_type
Ocean Isle Beach,,,,,28469,,,,Causeway Inn,,,,,,https://www.sloanevacations.com/resort/causeway-inn,retail,,,,,,,,,,,,,,,52873216598,1712336488,2,0,"MULTIPOLYGON (((-78.4373779296875 33.889278411865234, -78.43767547607422 33.88920593261719, -78.43770599365234 33.88928985595703, -78.43740844726562 33.88936233520508, -78.4373779296875 33.889278411865234)), ((-78.43728637695312 33.889068603515625, -78.43773651123047 33.888954162597656, -78.43770599365234 33.88886260986328, -78.43724822998047 33.88897705078125, -78.43728637695312 33.889068603515625)))","{""tourism"":""hotel"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,6917110032,1438205801,1,0,"POLYGON ((-78.57887268066406 33.890933990478516, -78.57884216308594 33.89091873168945, -78.57881927490234 33.89089584350586, -78.57875061035156 33.89091873168945, -78.57872772216797 33.8908576965332, -78.57878875732422 33.89083480834961, -78.57878112792969 33.89083480834961, -78.57878112792969 33.890785217285156, -78.57878875732422 33.890777587890625, -78.57872009277344 33.890743255615234, -78.57875061035156 33.89068603515625, -78.57882690429688 33.890716552734375, -78.57884216308594 33.89070129394531, -78.5788803100586 33.890682220458984, -78.57886505126953 33.89061737060547, -78.57894897460938 33.89060592651367, -78.57896423339844 33.89067077636719, -78.5790023803711 33.89067459106445, -78.57903289794922 33.89068603515625, -78.57907104492188 33.89064407348633, -78.57913208007812 33.89068603515625, -78.57909393310547 33.89072799682617, -78.57909393310547 33.89073181152344, -78.57911682128906 33.89077377319336, -78.57911682128906 33.890785217285156, -78.57918548583984 33.89078903198242, -78.57918548583984 33.89085388183594, -78.57911682128906 33.89085006713867, -78.57910919189453 33.89086151123047, -78.57908630371094 33.890899658203125, -78.57908630371094 33.89090347290039, -78.57911682128906 33.89094161987305, -78.57905578613281 33.89098358154297, -78.57901763916016 33.89093780517578, -78.57899475097656 33.89094924926758, -78.57894897460938 33.89094924926758, -78.57892608642578 33.89100646972656, -78.57884979248047 33.890987396240234, -78.57887268066406 33.890933990478516), (-78.57897186279297 33.89075469970703, -78.57902526855469 33.89078903198242, -78.57901763916016 33.890838623046875, -78.57897186279297 33.890872955322266, -78.57891082763672 33.8908576965332, -78.5788803100586 33.89080810546875, -78.57891082763672 33.89076232910156, -78.57897186279297 33.89075469970703))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,6906308753,1438205801,1,0,"POLYGON ((-78.5782241821289 33.891014099121094, -78.57825469970703 33.89103317260742, -78.5782699584961 33.891056060791016, -78.57833862304688 33.89104080200195, -78.57836151123047 33.89110565185547, -78.57830047607422 33.891117095947266, -78.57830047607422 33.89112091064453, -78.57829284667969 33.891170501708984, -78.57828521728516 33.891178131103516, -78.57835388183594 33.89121627807617, -78.57830810546875 33.89126968383789, -78.57823944091797 33.891231536865234, -78.5782241821289 33.8912467956543, -78.57817840576172 33.89126205444336, -78.57818603515625 33.891326904296875, -78.57810974121094 33.891334533691406, -78.5781021118164 33.89126968383789, -78.57805633544922 33.891258239746094, -78.57803344726562 33.8912467956543, -78.57798767089844 33.89128494262695, -78.57793426513672 33.8912353515625, -78.5779800415039 33.891197204589844, -78.57797241210938 33.89119338989258, -78.57795715332031 33.891151428222656, -78.57795715332031 33.891136169433594, -78.57789611816406 33.89112854003906, -78.5779037475586 33.89106369018555, -78.57797241210938 33.89107131958008, -78.5779800415039 33.89106369018555, -78.57801055908203 33.89102554321289, -78.57801055908203 33.89102554321289, -78.5779800415039 33.89098358154297, -78.57804870605469 33.89094924926758, -78.57807922363281 33.890995025634766, -78.57810974121094 33.890987396240234, -78.5781478881836 33.8909912109375, -78.57817840576172 33.89093780517578, -78.5782470703125 33.89096450805664, -78.5782241821289 33.891014099121094), (-78.578125 33.89107131958008, -78.57817840576172 33.891090393066406, -78.57820129394531 33.89113998413086, -78.57816314697266 33.89118194580078, -78.57810974121094 33.89118957519531, -78.57805633544922 33.89114761352539, -78.57806396484375 33.89109802246094, -78.578125 33.89107131958008))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,6911709392,1438205801,1,0,"POLYGON ((-78.57850646972656 33.89122772216797, -78.5784912109375 33.89120101928711, -78.5784912109375 33.89117431640625, -78.57841491699219 33.89116287231445, -78.57843017578125 33.89109802246094, -78.57849884033203 33.89110565185547, -78.57849884033203 33.89110565185547, -78.57852935791016 33.89106369018555, -78.57853698730469 33.891056060791016, -78.57849884033203 33.89099884033203, -78.57856750488281 33.89096450805664, -78.57861328125 33.89102554321289, -78.57862854003906 33.89101791381836, -78.57868194580078 33.89101791381836, -78.57870483398438 33.890960693359375, -78.57878112792969 33.89098358154297, -78.5787582397461 33.89104461669922, -78.57878875732422 33.89106750488281, -78.57880401611328 33.89108657836914, -78.57886505126953 33.89107131958008, -78.57888793945312 33.89113235473633, -78.57882690429688 33.891151428222656, -78.57882690429688 33.89115905761719, -78.57881927490234 33.89120101928711, -78.57881164550781 33.891212463378906, -78.57886505126953 33.89124298095703, -78.57881927490234 33.89129638671875, -78.57876586914062 33.891265869140625, -78.5787582397461 33.891273498535156, -78.57870483398438 33.891292572021484, -78.57870483398438 33.89129638671875, -78.5787124633789 33.8913459777832, -78.5786361694336 33.89134979248047, -78.57862854003906 33.89129638671875, -78.57859802246094 33.891292572021484, -78.57855987548828 33.89127731323242, -78.5785140991211 33.89131164550781, -78.57846069335938 33.89126205444336, -78.57850646972656 33.89122772216797), (-78.57865142822266 33.8911018371582, -78.5787124633789 33.891117095947266, -78.57872772216797 33.89116668701172, -78.57869720458984 33.891212463378906, -78.5786361694336 33.89121627807617, -78.5785903930664 33.891178131103516, -78.57859802246094 33.89112854003906, -78.57865142822266 33.8911018371582))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,6922510673,1438205801,1,0,"POLYGON ((-78.57774353027344 33.89112091064453, -78.57776641845703 33.891143798828125, -78.57777404785156 33.891170501708984, -78.57785034179688 33.89116668701172, -78.57785034179688 33.891231536865234, -78.57778930664062 33.8912353515625, -78.57778930664062 33.891239166259766, -78.57776641845703 33.89128494262695, -78.5777587890625 33.891292572021484, -78.57781219482422 33.89134216308594, -78.5777587890625 33.891387939453125, -78.57769775390625 33.89133834838867, -78.57768249511719 33.8913459777832, -78.57762908935547 33.891357421875, -78.57762145996094 33.89141845703125, -78.57754516601562 33.89141082763672, -78.57755279541016 33.8913459777832, -78.5775146484375 33.89133071899414, -78.5774917602539 33.89131164550781, -78.57743835449219 33.89134216308594, -78.57740020751953 33.89128494262695, -78.57745361328125 33.89125442504883, -78.57745361328125 33.89125061035156, -78.57744598388672 33.891204833984375, -78.57744598388672 33.89119338989258, -78.577392578125 33.89117431640625, -78.5774154663086 33.89111328125, -78.57747650146484 33.89113235473633, -78.57748413085938 33.8911247253418, -78.57752990722656 33.89109420776367, -78.57752990722656 33.89109420776367, -78.57750701904297 33.89104461669922, -78.57758331298828 33.89102554321289, -78.57760620117188 33.891075134277344, -78.57762908935547 33.891075134277344, -78.57767486572266 33.891082763671875, -78.57771301269531 33.89103698730469, -78.5777816772461 33.891075134277344, -78.57774353027344 33.89112091064453), (-78.57763671875 33.89115905761719, -78.57768249511719 33.89118957519531, -78.57768249511719 33.89124298095703, -78.57763671875 33.89127731323242, -78.57758331298828 33.891265869140625, -78.57755279541016 33.89122009277344, -78.57757568359375 33.891170501708984, -78.57763671875 33.89115905761719))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,6927911315,1438205801,1,0,"POLYGON ((-78.57697296142578 33.891170501708984, -78.57699584960938 33.891143798828125, -78.57701873779297 33.89112854003906, -78.5770034790039 33.89107131958008, -78.57707977294922 33.891056060791016, -78.57709503173828 33.89110565185547, -78.57709503173828 33.89110565185547, -78.57715606689453 33.89111328125, -78.57716369628906 33.891117095947266, -78.57720947265625 33.89105987548828, -78.57727813720703 33.89109802246094, -78.57723236083984 33.89115524291992, -78.5772476196289 33.89116668701172, -78.5772705078125 33.891204833984375, -78.57734680175781 33.891197204589844, -78.57735443115234 33.891265869140625, -78.57727813720703 33.89126968383789, -78.57726287841797 33.89130783081055, -78.5772476196289 33.891326904296875, -78.5772933959961 33.89136505126953, -78.57723999023438 33.89141082763672, -78.57719421386719 33.89137268066406, -78.57718658447266 33.89137649536133, -78.57713317871094 33.891387939453125, -78.57711791992188 33.891387939453125, -78.57711029052734 33.891441345214844, -78.57703399658203 33.89143371582031, -78.57704162597656 33.89137649536133, -78.5770263671875 33.89137268066406, -78.57698822021484 33.8913459777832, -78.57698059082031 33.8913459777832, -78.57693481445312 33.89137268066406, -78.57688903808594 33.89131546020508, -78.57695007324219 33.89128875732422, -78.57694244384766 33.891265869140625, -78.57694244384766 33.891231536865234, -78.5768814086914 33.89120864868164, -78.57691192626953 33.89114761352539, -78.57697296142578 33.891170501708984), (-78.5771255493164 33.89119338989258, -78.57717895507812 33.89122009277344, -78.57717895507812 33.891273498535156, -78.57713317871094 33.89130783081055, -78.57707977294922 33.89130401611328, -78.57704162597656 33.89125442504883, -78.57706451416016 33.89120864868164, -78.5771255493164 33.89119338989258))","{""type"":""multipolygon""}",relation
,,,,,,,,,Cape Fear Pilots Association,,,,,,,yes,,,,,,,,,,,,,,,4281777271,1523400940,1,0,"POLYGON ((-78.0197525024414 33.916709899902344, -78.01966094970703 33.916725158691406, -78.01964569091797 33.91666030883789, -78.01973724365234 33.91664505004883, -78.0197525024414 33.916709899902344))","{""type"":""multipolygon""}",relation
Kure Beach,,,900,,28449,,Loggerhead Road,,North Carolina Aquarium At Fort Fisher,Mo-Su 09:00-17:00,,(910) 772-0500,,,,yes,,,,,,,,,,,,,,,53256155750,1672404867,2,0,"MULTIPOLYGON (((-77.9266586303711 33.962581634521484, -77.92654418945312 33.96268081665039, -77.92646789550781 33.96274948120117, -77.92643737792969 33.96274948120117, -77.92643737792969 33.9627799987793, -77.92643737792969 33.96279525756836, -77.92621612548828 33.96279525756836, -77.92621612548828 33.962921142578125, -77.92589569091797 33.962913513183594, -77.9259033203125 33.96266555786133, -77.92585754394531 33.96266555786133, -77.92585754394531 33.962646484375, -77.92582702636719 33.962646484375, -77.92582702636719 33.9625244140625, -77.9264144897461 33.96253204345703, -77.9264144897461 33.96250915527344, -77.92658996582031 33.96251678466797, -77.9266586303711 33.962581634521484)), ((-77.92581939697266 33.963016510009766, -77.9257583618164 33.963016510009766, -77.9257583618164 33.96318054199219, -77.9257583618164 33.96320724487305, -77.9256820678711 33.96320724487305, -77.9253158569336 33.96321487426758, -77.9253158569336 33.963035583496094, -77.92509460449219 33.96302795410156, -77.92509460449219 33.96296310424805, -77.925048828125 33.96296310424805, -77.92505645751953 33.96287155151367, -77.92514038085938 33.96287155151367, -77.92514038085938 33.9627799987793, -77.92520904541016 33.9627799987793, -77.92521667480469 33.962623596191406, -77.92550659179688 33.962608337402344, -77.92552185058594 33.962589263916016, -77.9255599975586 33.96263885498047, -77.92555236816406 33.96271514892578, -77.9258804321289 33.96271896362305, -77.9258804321289 33.962955474853516, -77.92585754394531 33.96295928955078, -77.92581939697266 33.96295928955078, -77.92581939697266 33.963016510009766)))","{""addr:state"":""NC"",""fee"":""yes"",""payment:cash"":""yes"",""payment:credit_cards"":""yes"",""tourism"":""aquarium"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,31696570945,1599060160,1,0,"POLYGON ((-78.38865661621094 33.96522521972656, -78.38842010498047 33.96506881713867, -78.38844299316406 33.96504211425781, -78.38796997070312 33.96472930908203, -78.38774108886719 33.96497344970703, -78.38796997070312 33.965126037597656, -78.38790130615234 33.96519470214844, -78.3876724243164 33.96504211425781, -78.3875961303711 33.96512222290039, -78.38750457763672 33.965065002441406, -78.38727569580078 33.965309143066406, -78.38733673095703 33.96534729003906, -78.38736724853516 33.96531295776367, -78.38751983642578 33.965415954589844, -78.38736724853516 33.965579986572266, -78.38751983642578 33.965675354003906, -78.38758087158203 33.96561050415039, -78.38782501220703 33.96577072143555, -78.38789367675781 33.965702056884766, -78.38800048828125 33.96577453613281, -78.38816833496094 33.965599060058594, -78.38811492919922 33.9655647277832, -78.38816833496094 33.96550750732422, -78.3881607055664 33.96549987792969, -78.38824462890625 33.96541213989258, -78.3882064819336 33.965389251708984, -78.38824462890625 33.96534729003906, -78.388427734375 33.96546936035156, -78.38865661621094 33.96522521972656), (-78.38819885253906 33.96524429321289, -78.38825225830078 33.965187072753906, -78.38807678222656 33.9650764465332, -78.38802337646484 33.96513366699219, -78.38819885253906 33.96524429321289), (-78.387939453125 33.9654426574707, -78.38798522949219 33.96539306640625, -78.38787078857422 33.9653205871582, -78.38782501220703 33.965370178222656, -78.387939453125 33.9654426574707))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,31684998686,1599060160,1,0,"POLYGON ((-78.38839721679688 33.96831512451172, -78.38851165771484 33.96820068359375, -78.3884506225586 33.968162536621094, -78.38861846923828 33.967987060546875, -78.38838195800781 33.96782684326172, -78.38809967041016 33.96811294555664, -78.38839721679688 33.96831512451172), (-78.38837432861328 33.968101501464844, -78.38841247558594 33.96805953979492, -78.38835906982422 33.968021392822266, -78.38831329345703 33.96806335449219, -78.38837432861328 33.968101501464844))","{""type"":""multipolygon""}",relation
