addr:city,addr:country,addr:full,addr:housenumber,addr:housename,addr:postcode,addr:street,email,name,opening_hours,operator,phone,ref,url,website,building,amenity,building:flats,building:levels,building:material,building:use,craft,height,internet_access,landuse,office,shop,source,start_date,wikipedia,id,timestamp,version,changeset,geometry,tags,osm_type
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,62053530606,1546991152,1,0,"POLYGON ((-95.53285217285156 29.511878967285156, -95.53340148925781 29.511892318725586, -95.53337860107422 29.512691497802734, -95.5334701538086 29.512693405151367, -95.53346252441406 29.512706756591797, -95.53377532958984 29.512704849243164, -95.53377532958984 29.512691497802734, -95.53384399414062 29.512693405151367, -95.53386688232422 29.51210594177246, -95.53389739990234 29.51210594177246, -95.53390502929688 29.511993408203125, -95.53398895263672 29.511995315551758, -95.53398895263672 29.511934280395508, -95.53418731689453 29.511938095092773, -95.5341796875 29.51198959350586, -95.53429412841797 29.511991500854492, -95.53426361083984 29.513164520263672, -95.5342025756836 29.51316261291504, -95.5342025756836 29.5133056640625, -95.53389739990234 29.513296127319336, -95.53389739990234 29.51321029663086, -95.53385162353516 29.513208389282227, -95.53366088867188 29.51327896118164, -95.5335464477539 29.513277053833008, -95.5333480834961 29.513202667236328, -95.53330993652344 29.513202667236328, -95.5333023071289 29.513288497924805, -95.5328369140625 29.513263702392578, -95.53284454345703 29.51311492919922, -95.53291320800781 29.513118743896484, -95.53292083740234 29.512998580932617, -95.53295135498047 29.513002395629883, -95.53296661376953 29.51250457763672, -95.53286743164062 29.512502670288086, -95.53287506103516 29.512348175048828, -95.5328369140625 29.512346267700195, -95.53285217285156 29.511878967285156), (-95.53378295898438 29.512775421142578, -95.53385925292969 29.512849807739258, -95.53385162353516 29.51301383972168, -95.53376770019531 29.513080596923828, -95.53345489501953 29.51307487487793, -95.53337860107422 29.513011932373047, -95.53338623046875 29.51283836364746, -95.53346252441406 29.512773513793945, -95.53378295898438 29.512775421142578))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,school,,,2,,,,,,,,,,,,10436574859,1480716911,6,0,"POLYGON ((-95.63040924072266 29.5561580657959, -95.63037109375 29.55615997314453, -95.63036346435547 29.55574607849121, -95.63053131103516 29.555744171142578, -95.63053894042969 29.555809020996094, -95.63066864013672 29.555809020996094, -95.63066101074219 29.55562400817871, -95.63053894042969 29.55562400817871, -95.63053894042969 29.55556869506836, -95.63099670410156 29.555564880371094, -95.63099670410156 29.555620193481445, -95.63087463378906 29.555622100830078, -95.63087463378906 29.55583381652832, -95.63125610351562 29.555830001831055, -95.6312484741211 29.555747985839844, -95.63141632080078 29.55574607849121, -95.63141632080078 29.555709838867188, -95.63194274902344 29.555706024169922, -95.63195037841797 29.556190490722656, -95.63143157958984 29.556194305419922, -95.63143157958984 29.556612014770508, -95.6317367553711 29.556610107421875, -95.6317367553711 29.55663299560547, -95.63186645507812 29.556631088256836, -95.63186645507812 29.556711196899414, -95.6319351196289 29.556711196899414, -95.6319351196289 29.55687713623047, -95.63187408447266 29.5568790435791, -95.63187408447266 29.55698013305664, -95.63054656982422 29.556991577148438, -95.63054656982422 29.55693817138672, -95.63037872314453 29.55694007873535, -95.63037872314453 29.556671142578125, -95.63040924072266 29.556671142578125, -95.63040924072266 29.55664825439453, -95.63037872314453 29.55661964416504, -95.63036346435547 29.55658721923828, -95.63034057617188 29.55655288696289, -95.63032531738281 29.55651092529297, -95.63032531738281 29.556468963623047, -95.63030242919922 29.55646514892578, -95.63027954101562 29.556453704833984, -95.63026428222656 29.556434631347656, -95.63026428222656 29.556415557861328, -95.63026428222656 29.556413650512695, -95.63026428222656 29.556392669677734, -95.63027954101562 29.55637550354004, -95.63030242919922 29.556364059448242, -95.63031768798828 29.556360244750977, -95.63032531738281 29.55632781982422, -95.63033294677734 29.556291580200195, -95.6303482055664 29.556245803833008, -95.63037872314453 29.556198120117188, -95.63040924072266 29.5561580657959), (-95.63072204589844 29.555622100830078, -95.63072204589844 29.555835723876953, -95.63081359863281 29.55583381652832, -95.63081359863281 29.555622100830078, -95.63072204589844 29.555622100830078), (-95.63102722167969 29.556615829467773, -95.63139343261719 29.556612014770508, -95.63138580322266 29.556194305419922, -95.63101959228516 29.556198120117188, -95.63102722167969 29.556615829467773), (-95.63068389892578 29.55661964416504, -95.6308822631836 29.556617736816406, -95.6309585571289 29.556543350219727, -95.63095092773438 29.556272506713867, -95.63087463378906 29.55620574951172, -95.63068389892578 29.55620574951172, -95.63059997558594 29.5562744140625, -95.63060760498047 29.556550979614258, -95.63068389892578 29.556617736816406, -95.63068389892578 29.55661964416504))","{""type"":""multipolygon""}",relation
Sugar Land,US,,3300,,77479,Austin Parkway,,Christ Church Sugar Land,,United Methodist Church,,,,,church,place_of_worship,,,,,,,,,,,,,,85398297306,1735038366,1,0,"POLYGON ((-95.60333251953125 29.57303237915039, -95.60332489013672 29.573009490966797, -95.60327911376953 29.573013305664062, -95.603271484375 29.57295799255371, -95.60309600830078 29.57297134399414, -95.60309600830078 29.57295036315918, -95.60309600830078 29.572925567626953, -95.6031265258789 29.57292366027832, -95.60311889648438 29.572893142700195, -95.60313415527344 29.572891235351562, -95.6031265258789 29.572816848754883, -95.60310363769531 29.572818756103516, -95.60308837890625 29.572656631469727, -95.60306549072266 29.57265853881836, -95.60305786132812 29.5726261138916, -95.60301971435547 29.57260513305664, -95.60298919677734 29.572607040405273, -95.60298919677734 29.572589874267578, -95.60272979736328 29.57261085510254, -95.60273742675781 29.5726261138916, -95.60270690917969 29.572628021240234, -95.60271453857422 29.572675704956055, -95.60271453857422 29.572689056396484, -95.60269927978516 29.572690963745117, -95.60269927978516 29.57269859313965, -95.60264587402344 29.572702407836914, -95.60267639160156 29.572925567626953, -95.60269165039062 29.57292366027832, -95.60269165039062 29.572948455810547, -95.6027603149414 29.57294464111328, -95.60276794433594 29.57294273376465, -95.60276794433594 29.572961807250977, -95.60279846191406 29.572980880737305, -95.60282897949219 29.572980880737305, -95.60284423828125 29.5729923248291, -95.60284423828125 29.573017120361328, -95.60279083251953 29.573020935058594, -95.60279083251953 29.573043823242188, -95.60276794433594 29.57304573059082, -95.60277557373047 29.573060989379883, -95.60275268554688 29.573062896728516, -95.60277557373047 29.573204040527344, -95.60279083251953 29.57320213317871, -95.60279083251953 29.573225021362305, -95.60286712646484 29.573219299316406, -95.60287475585938 29.573253631591797, -95.60299682617188 29.5732421875, -95.60298919677734 29.573184967041016, -95.60307312011719 29.573177337646484, -95.60308074951172 29.573240280151367, -95.60311889648438 29.573238372802734, -95.60317993164062 29.573232650756836, -95.60317993164062 29.573223114013672, -95.60330200195312 29.573211669921875, -95.60330200195312 29.573158264160156, -95.60334014892578 29.57315444946289, -95.60334014892578 29.573129653930664, -95.60333251953125 29.57308006286621, -95.60333251953125 29.57303237915039), (-95.60295867919922 29.572891235351562, -95.60294342041016 29.572893142700195, -95.60295104980469 29.57290267944336, -95.60287475585938 29.572908401489258, -95.60284423828125 29.57288932800293, -95.60282897949219 29.572736740112305, -95.60294342041016 29.57272720336914, -95.60295867919922 29.572891235351562))","{""contact:phone"":""+1 281-980-6888"",""contact:website"":""https://www.christchurchsl.org"",""denomination"":""united_methodist"",""religion"":""christian"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,62035136024,1546983729,1,0,"POLYGON ((-95.4708251953125 29.47609519958496, -95.47085571289062 29.475969314575195, -95.47087097167969 29.475900650024414, -95.47090911865234 29.475811004638672, -95.47096252441406 29.475723266601562, -95.47088623046875 29.475679397583008, -95.47093963623047 29.47560691833496, -95.47100067138672 29.475540161132812, -95.47108459472656 29.475475311279297, -95.47112274169922 29.475515365600586, -95.4711685180664 29.475479125976562, -95.47123718261719 29.47544288635254, -95.47120666503906 29.47539520263672, -95.47130584716797 29.475353240966797, -95.4714126586914 29.475313186645508, -95.47142028808594 29.475322723388672, -95.47148895263672 29.475309371948242, -95.47156524658203 29.475296020507812, -95.4715805053711 29.475372314453125, -95.4716567993164 29.475366592407227, -95.47173309326172 29.475366592407227, -95.47173309326172 29.475351333618164, -95.4718017578125 29.47535514831543, -95.47187805175781 29.475364685058594, -95.47187805175781 29.475378036499023, -95.47196197509766 29.47539520263672, -95.47184753417969 29.475988388061523, -95.47181701660156 29.475982666015625, -95.4718017578125 29.476041793823242, -95.4718246459961 29.476078033447266, -95.47183990478516 29.47611427307129, -95.47183990478516 29.476144790649414, -95.47177124023438 29.47613525390625, -95.47176361083984 29.476154327392578, -95.47174835205078 29.47616958618164, -95.47171783447266 29.476179122924805, -95.47169494628906 29.476177215576172, -95.4716796875 29.476240158081055, -95.47164154052734 29.476226806640625, -95.47161102294922 29.476207733154297, -95.47158813476562 29.476181030273438, -95.47151184082031 29.476167678833008, -95.47151184082031 29.476198196411133, -95.47148132324219 29.476192474365234, -95.47142028808594 29.476184844970703, -95.47134399414062 29.476173400878906, -95.47130584716797 29.476167678833008, -95.4708251953125 29.47609519958496), (-95.4716567993164 29.475801467895508, -95.47161865234375 29.475807189941406, -95.4715805053711 29.47581672668457, -95.47137451171875 29.475536346435547, -95.47144317626953 29.475509643554688, -95.47154235839844 29.475482940673828, -95.47163391113281 29.475473403930664, -95.47171783447266 29.4754695892334, -95.4716567993164 29.475801467895508), (-95.47099304199219 29.475919723510742, -95.47102355957031 29.475858688354492, -95.47106170654297 29.475786209106445, -95.47111511230469 29.475725173950195, -95.4711685180664 29.475664138793945, -95.47140502929688 29.47593116760254, -95.47138214111328 29.475955963134766, -95.47137451171875 29.47597885131836, -95.47099304199219 29.475919723510742))","{""type"":""multipolygon""}",relation
Houston,,,16301,,77053,Chimney Rock Road,,Willowridge High School,,,,,,,school,,,,,,,,,,,,,,,19633741268,1465177280,2,0,"POLYGON ((-95.48344421386719 29.586578369140625, -95.48307037353516 29.5867862701416, -95.48274993896484 29.586345672607422, -95.48178100585938 29.586877822875977, -95.48159790039062 29.586618423461914, -95.48143768310547 29.586706161499023, -95.48135375976562 29.586597442626953, -95.48117065429688 29.586700439453125, -95.4809799194336 29.58643913269043, -95.48188018798828 29.585941314697266, -95.48172760009766 29.585729598999023, -95.48199462890625 29.585586547851562, -95.48190307617188 29.58546257019043, -95.48216247558594 29.5853214263916, -95.48191833496094 29.584989547729492, -95.48224639892578 29.584814071655273, -95.4825210571289 29.585195541381836, -95.4822769165039 29.585330963134766, -95.48295593261719 29.586275100708008, -95.483154296875 29.586170196533203, -95.48344421386719 29.586578369140625), (-95.48247528076172 29.585975646972656, -95.48226165771484 29.58608627319336, -95.48210906982422 29.585865020751953, -95.4823226928711 29.585752487182617, -95.48247528076172 29.585975646972656))","{""addr:state"":""TX"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,19609675187,1456775037,1,0,"POLYGON ((-95.46109771728516 29.589820861816406, -95.4604721069336 29.589889526367188, -95.46044158935547 29.5897216796875, -95.46041870117188 29.58969497680664, -95.46034240722656 29.58965301513672, -95.46048736572266 29.589353561401367, -95.46039581298828 29.58930778503418, -95.46048736572266 29.589126586914062, -95.46021270751953 29.589019775390625, -95.46013641357422 29.58916473388672, -95.46023559570312 29.589204788208008, -95.4600830078125 29.58951187133789, -95.4599838256836 29.589475631713867, -95.45989990234375 29.589624404907227, -95.4598617553711 29.589611053466797, -95.45979309082031 29.589624404907227, -95.45974731445312 29.589689254760742, -95.45923614501953 29.5894832611084, -95.45925903320312 29.58943748474121, -95.45923614501953 29.589365005493164, -95.45918273925781 29.589344024658203, -95.45923614501953 29.589269638061523, -95.4591293334961 29.58922576904297, -95.45919036865234 29.58908462524414, -95.45913696289062 29.589048385620117, -95.4592056274414 29.588899612426758, -95.45926666259766 29.588916778564453, -95.45935821533203 29.588768005371094, -95.45947265625 29.58881378173828, -95.45950317382812 29.588735580444336, -95.46012115478516 29.58897590637207, -95.46013641357422 29.588937759399414, -95.46063232421875 29.589143753051758, -95.46070861816406 29.589143753051758, -95.46072387695312 29.58917236328125, -95.46085357666016 29.589096069335938, -95.46123504638672 29.589553833007812, -95.46114349365234 29.589616775512695, -95.46115112304688 29.58964729309082, -95.46121215820312 29.58966827392578, -95.46118927001953 29.5897216796875, -95.46111297607422 29.589696884155273, -95.46109008789062 29.589710235595703, -95.46109771728516 29.589820861816406), (-95.46099853515625 29.58963966369629, -95.46048736572266 29.58969497680664, -95.46045684814453 29.58966636657715, -95.4606704711914 29.589235305786133, -95.46072387695312 29.589229583740234, -95.46102142333984 29.589603424072266, -95.46099853515625 29.58963966369629))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,44341367573,1536702030,1,0,"POLYGON ((-95.49903869628906 29.63894271850586, -95.4990463256836 29.6393985748291, -95.49790954589844 29.639415740966797, -95.4979019165039 29.639066696166992, -95.4979019165039 29.638957977294922, -95.49858093261719 29.638948440551758, -95.49903869628906 29.63894271850586), (-95.4986572265625 29.63926124572754, -95.49852752685547 29.639263153076172, -95.49851989746094 29.639089584350586, -95.4986572265625 29.639087677001953, -95.4986572265625 29.63926124572754), (-95.49816131591797 29.639266967773438, -95.49808502197266 29.63926887512207, -95.49807739257812 29.639097213745117, -95.49815368652344 29.639095306396484, -95.49816131591797 29.639266967773438))","{""type"":""multipolygon""}",relation
,,,,,,,,,,Las Villas Del Parque,,,,,apartments,,,2,brick,,,,,,,,,,,64765147259,1666112012,3,0,"POLYGON ((-95.47809600830078 29.64922332763672, -95.47799682617188 29.64922332763672, -95.47799682617188 29.649181365966797, -95.47797393798828 29.649181365966797, -95.47797393798828 29.649221420288086, -95.47785186767578 29.64922332763672, -95.47785186767578 29.649198532104492, -95.47782897949219 29.649200439453125, -95.47782897949219 29.64922332763672, -95.47769927978516 29.64922332763672, -95.47769927978516 29.649188995361328, -95.47772216796875 29.649188995361328, -95.47772216796875 29.649112701416016, -95.47770690917969 29.649112701416016, -95.47770690917969 29.6490535736084, -95.47772216796875 29.6490535736084, -95.47772216796875 29.648971557617188, -95.47770690917969 29.648971557617188, -95.47770690917969 29.648916244506836, -95.47772216796875 29.648916244506836, -95.47772216796875 29.648836135864258, -95.47770690917969 29.648836135864258, -95.47770690917969 29.64879035949707, -95.47769165039062 29.648788452148438, -95.47769927978516 29.648395538330078, -95.47769927978516 29.648386001586914, -95.47770690917969 29.64838409423828, -95.47770690917969 29.64834213256836, -95.47772979736328 29.648344039916992, -95.47772979736328 29.648263931274414, -95.47770690917969 29.648263931274414, -95.47770690917969 29.648204803466797, -95.47772979736328 29.648204803466797, -95.47772979736328 29.648128509521484, -95.47770690917969 29.648128509521484, -95.47770690917969 29.648067474365234, -95.47772979736328 29.648067474365234, -95.47772979736328 29.647987365722656, -95.47771453857422 29.647987365722656, -95.47770690917969 29.6479549407959, -95.47797393798828 29.6479549407959, -95.47797393798828 29.647994995117188, -95.4780044555664 29.647994995117188, -95.4780044555664 29.6479549407959, -95.47810363769531 29.6479549407959, -95.47810363769531 29.648178100585938, -95.47808837890625 29.648178100585938, -95.47808837890625 29.648208618164062, -95.47810363769531 29.648208618164062, -95.47810363769531 29.648273468017578, -95.47808837890625 29.648273468017578, -95.47808837890625 29.648345947265625, -95.47810363769531 29.648345947265625, -95.47810363769531 29.648378372192383, -95.47809600830078 29.648378372192383, -95.47809600830078 29.648460388183594, -95.4780502319336 29.648460388183594, -95.4780502319336 29.64847755432129, -95.47797393798828 29.64847755432129, -95.47797393798828 29.648462295532227, -95.47793579101562 29.648462295532227, -95.47793579101562 29.648481369018555, -95.47785186767578 29.648481369018555, -95.47785186767578 29.648448944091797, -95.47782897949219 29.648448944091797, -95.47782897949219 29.648725509643555, -95.47785186767578 29.648725509643555, -95.47785186767578 29.648696899414062, -95.47793579101562 29.648696899414062, -95.47793579101562 29.64871597290039, -95.47796630859375 29.64871597290039, -95.47796630859375 29.64870262145996, -95.4780502319336 29.64870262145996, -95.4780502319336 29.648717880249023, -95.47809600830078 29.648717880249023, -95.47809600830078 29.648799896240234, -95.47809600830078 29.648799896240234, -95.47809600830078 29.648826599121094, -95.47808074951172 29.648826599121094, -95.47808074951172 29.648902893066406, -95.47809600830078 29.648902893066406, -95.47809600830078 29.648967742919922, -95.47807312011719 29.648967742919922, -95.47807312011719 29.64897346496582, -95.47808074951172 29.64897346496582, -95.47808074951172 29.649003982543945, -95.47809600830078 29.649003982543945, -95.47809600830078 29.64922332763672), (-95.47795867919922 29.64837074279785, -95.4779281616211 29.64837074279785, -95.4779281616211 29.64838981628418, -95.47785186767578 29.648391723632812, -95.47785186767578 29.648372650146484, -95.47782897949219 29.648372650146484, -95.47782135009766 29.648303985595703, -95.47782897949219 29.648303985595703, -95.47782897949219 29.648273468017578, -95.47785186767578 29.648271560668945, -95.47785186767578 29.648061752319336, -95.47786712646484 29.648061752319336, -95.47786712646484 29.648075103759766, -95.47796630859375 29.648073196411133, -95.47796630859375 29.648061752319336, -95.47798919677734 29.648059844970703, -95.47798919677734 29.648168563842773, -95.47797393798828 29.648168563842773, -95.47797393798828 29.648204803466797, -95.47795104980469 29.648204803466797, -95.47795104980469 29.648231506347656, -95.47795867919922 29.648229598999023, -95.47795867919922 29.64837074279785), (-95.47784423828125 29.649120330810547, -95.47784423828125 29.6489200592041, -95.47785186767578 29.6489200592041, -95.47785186767578 29.648906707763672, -95.47782897949219 29.648906707763672, -95.47782897949219 29.64887237548828, -95.47782897949219 29.64887237548828, -95.47782897949219 29.648805618286133, -95.47784423828125 29.648805618286133, -95.47784423828125 29.648788452148438, -95.47792053222656 29.648786544799805, -95.47792053222656 29.648799896240234, -95.47795867919922 29.648799896240234, -95.47795867919922 29.648958206176758, -95.47795104980469 29.648958206176758, -95.47795104980469 29.648975372314453, -95.47796630859375 29.648975372314453, -95.47796630859375 29.649005889892578, -95.47798156738281 29.649005889892578, -95.47798156738281 29.649024963378906, -95.47796630859375 29.649024963378906, -95.47796630859375 29.64904022216797, -95.47798156738281 29.64904022216797, -95.47798156738281 29.649118423461914, -95.47795867919922 29.649118423461914, -95.47795867919922 29.649105072021484, -95.47785949707031 29.649105072021484, -95.47785949707031 29.649120330810547, -95.47784423828125 29.649120330810547))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,44324005410,1664676686,3,0,"POLYGON ((-95.48087310791016 29.649335861206055, -95.48097229003906 29.64933204650879, -95.48096466064453 29.649248123168945, -95.48088836669922 29.649246215820312, -95.48088836669922 29.649188995361328, -95.48081970214844 29.649127960205078, -95.48077392578125 29.649126052856445, -95.48077392578125 29.649028778076172, -95.48080444335938 29.649028778076172, -95.48080444335938 29.648923873901367, -95.48097229003906 29.64891815185547, -95.48097229003906 29.648881912231445, -95.48097229003906 29.64881706237793, -95.48076629638672 29.648820877075195, -95.48076629638672 29.64877700805664, -95.48068237304688 29.648778915405273, -95.48068237304688 29.648698806762695, -95.48068237304688 29.648662567138672, -95.48052978515625 29.648664474487305, -95.48051452636719 29.647890090942383, -95.48101043701172 29.64788055419922, -95.48101806640625 29.648061752319336, -95.48102569580078 29.64820671081543, -95.48106384277344 29.64820671081543, -95.48111724853516 29.648204803466797, -95.48117065429688 29.648204803466797, -95.48120880126953 29.648202896118164, -95.481201171875 29.647878646850586, -95.4814224243164 29.647878646850586, -95.48145294189453 29.647953033447266, -95.4814682006836 29.647993087768555, -95.48149871826172 29.648147583007812, -95.48151397705078 29.648296356201172, -95.48162078857422 29.64829444885254, -95.48162078857422 29.648271560668945, -95.48164367675781 29.64826202392578, -95.48167419433594 29.64826011657715, -95.4817123413086 29.64826202392578, -95.48173522949219 29.648269653320312, -95.48174285888672 29.648303985595703, -95.4818115234375 29.648366928100586, -95.48186492919922 29.648365020751953, -95.48188781738281 29.64893341064453, -95.4816665649414 29.64893913269043, -95.48168182373047 29.648963928222656, -95.48189544677734 29.648956298828125, -95.48189544677734 29.649085998535156, -95.48178100585938 29.64908790588379, -95.48175048828125 29.64911460876465, -95.48172760009766 29.649141311645508, -95.48172760009766 29.649242401123047, -95.48158264160156 29.649240493774414, -95.48158264160156 29.649059295654297, -95.4815444946289 29.64904022216797, -95.4815444946289 29.649240493774414, -95.48143768310547 29.64924430847168, -95.48145294189453 29.649404525756836, -95.48147583007812 29.649404525756836, -95.48148345947266 29.649742126464844, -95.48145294189453 29.649742126464844, -95.48146057128906 29.649906158447266, -95.48148345947266 29.649906158447266, -95.48149108886719 29.65015411376953, -95.48141479492188 29.650156021118164, -95.4814224243164 29.650297164916992, -95.48131561279297 29.650299072265625, -95.48131561279297 29.65007972717285, -95.48094940185547 29.65008544921875, -95.48094940185547 29.650157928466797, -95.48088836669922 29.650163650512695, -95.48088836669922 29.649938583374023, -95.48087310791016 29.649335861206055), (-95.48139953613281 29.649614334106445, -95.48112487792969 29.649616241455078, -95.48112487792969 29.64954376220703, -95.48139953613281 29.649538040161133, -95.48139953613281 29.649614334106445), (-95.48140716552734 29.64932632446289, -95.48101806640625 29.649328231811523, -95.48101806640625 29.649248123168945, -95.48139953613281 29.649246215820312, -95.48140716552734 29.64932632446289), (-95.48149871826172 29.648378372192383, -95.48151397705078 29.64881134033203, -95.48146057128906 29.64883041381836, -95.4814224243164 29.648868560791016, -95.48139953613281 29.648914337158203, -95.48113250732422 29.6489200592041, -95.48113250732422 29.648822784423828, -95.481201171875 29.64882469177246, -95.4812240600586 29.648765563964844, -95.48127746582031 29.64870834350586, -95.48135375976562 29.64866828918457, -95.48141479492188 29.648649215698242, -95.48141479492188 29.64838218688965, -95.48149871826172 29.648378372192383))","{""type"":""multipolygon""}",relation
,,,,,,,,,,Westbury Manor Apartments,,,,,apartments,,,1,,,,,,,,,,,,64750441472,1666112081,2,0,"POLYGON ((-95.47856140136719 29.6503849029541, -95.47856140136719 29.65036964416504, -95.47862243652344 29.650367736816406, -95.47862243652344 29.65038299560547, -95.47865295410156 29.65038299560547, -95.47864532470703 29.65036964416504, -95.47866821289062 29.65036964416504, -95.47866821289062 29.650348663330078, -95.47874450683594 29.650346755981445, -95.47875213623047 29.650699615478516, -95.4787368774414 29.650699615478516, -95.47874450683594 29.650737762451172, -95.47874450683594 29.650787353515625, -95.47869873046875 29.650789260864258, -95.47869873046875 29.650794982910156, -95.47864532470703 29.65079689025879, -95.4786376953125 29.65078353881836, -95.47862243652344 29.650785446166992, -95.47862243652344 29.650768280029297, -95.47859191894531 29.65077018737793, -95.47859191894531 29.650741577148438, -95.47858428955078 29.650741577148438, -95.47857666015625 29.650741577148438, -95.47857666015625 29.650772094726562, -95.47850036621094 29.650774002075195, -95.47850799560547 29.650789260864258, -95.47848510742188 29.65079116821289, -95.47848510742188 29.650798797607422, -95.47842407226562 29.650800704956055, -95.47842407226562 29.650787353515625, -95.4783706665039 29.650789260864258, -95.4783706665039 29.650741577148438, -95.47837829589844 29.650737762451172, -95.47837829589844 29.65070152282715, -95.47840881347656 29.65070152282715, -95.47840118408203 29.65035057067871, -95.47848510742188 29.65035057067871, -95.47848510742188 29.650365829467773, -95.47850036621094 29.650373458862305, -95.47850799560547 29.650373458862305, -95.47850799560547 29.6503849029541, -95.47856140136719 29.6503849029541), (-95.47866821289062 29.65054702758789, -95.4786605834961 29.650537490844727, -95.47864532470703 29.650537490844727, -95.47864532470703 29.65052032470703, -95.4786148071289 29.6505184173584, -95.4786148071289 29.650537490844727, -95.47857130940756 29.650539303249783, -95.47856903076172 29.65053939819336, -95.47856903076172 29.65052604675293, -95.47850799560547 29.650524139404297, -95.47850799560547 29.650541305541992, -95.47850036621094 29.650541305541992, -95.4784927368164 29.65054702758789, -95.4784927368164 29.65056037902832, -95.4784927368164 29.650596618652344, -95.478515625 29.650596618652344, -95.47850799560547 29.650667190551758, -95.47850036621094 29.650667190551758, -95.47850036621094 29.65070152282715, -95.47852325439453 29.65070343017578, -95.47852325439453 29.65068817138672, -95.47858086244308 29.65068817138672, -95.47858428955078 29.65068817138672, -95.47859954833984 29.65068817138672, -95.47859954833984 29.650699615478516, -95.4786605834961 29.650699615478516, -95.4786605834961 29.65066909790039, -95.4786376953125 29.65066909790039, -95.4786376953125 29.65059471130371, -95.47865295410156 29.65059471130371, -95.47865295410156 29.65056037902832, -95.47866821289062 29.65056037902832, -95.47866821289062 29.65054702758789))","{""roof:levels"":""1"",""roof:shape"":""mansard"",""type"":""multipolygon""}",relation
