addr:city,addr:country,addr:full,addr:housenumber,addr:housename,addr:postcode,addr:street,email,name,opening_hours,operator,phone,ref,website,building,amenity,building:flats,building:levels,building:material,building:min_level,building:use,craft,height,internet_access,landuse,office,shop,source,start_date,wikipedia,id,timestamp,version,changeset,geometry,tags,osm_type
,,,,,,,,,,,,,,yes,school,,,,,,,,,,,,,,,5077065481,1540171609,1,0,"POLYGON ((-85.61021423339844 30.083580017089844, -85.61002349853516 30.083728790283203, -85.60958862304688 30.083316802978516, -85.60967254638672 30.083255767822266, -85.60964965820312 30.083240509033203, -85.60942840576172 30.08341407775879, -85.6097412109375 30.083715438842773, -85.60965728759766 30.083782196044922, -85.6093521118164 30.08348846435547, -85.60929870605469 30.083528518676758, -85.609619140625 30.083833694458008, -85.60952758789062 30.08390235900879, -85.60921478271484 30.083602905273438, -85.60913848876953 30.08366584777832, -85.6095199584961 30.084033966064453, -85.60955810546875 30.084003448486328, -85.60952758789062 30.08397102355957, -85.60963439941406 30.083885192871094, -85.60968780517578 30.083938598632812, -85.60953521728516 30.08405876159668, -85.60955810546875 30.084083557128906, -85.60948181152344 30.084148406982422, -85.60904693603516 30.083730697631836, -85.60901641845703 30.083749771118164, -85.6089859008789 30.083715438842773, -85.60921478271484 30.083532333374023, -85.60901641845703 30.083335876464844, -85.60919952392578 30.083194732666016, -85.60912322998047 30.083127975463867, -85.60892486572266 30.08328628540039, -85.60884857177734 30.083219528198242, -85.60881805419922 30.08324432373047, -85.6087417602539 30.083168029785156, -85.60855865478516 30.08330726623535, -85.60846710205078 30.08321762084961, -85.60848999023438 30.08319854736328, -85.60803985595703 30.082765579223633, -85.60812377929688 30.08270263671875, -85.60821533203125 30.082792282104492, -85.60857391357422 30.083133697509766, -85.60865783691406 30.083066940307617, -85.60833740234375 30.0827579498291, -85.60848999023438 30.0826358795166, -85.60877227783203 30.08290672302246, -85.60887145996094 30.082828521728516, -85.60897827148438 30.082927703857422, -85.60907745361328 30.08285140991211, -85.60842895507812 30.082231521606445, -85.60851287841797 30.082168579101562, -85.60926055908203 30.082889556884766, -85.60918426513672 30.082948684692383, -85.60924530029297 30.083011627197266, -85.60931396484375 30.082962036132812, -85.6093521118164 30.083005905151367, -85.60940551757812 30.082965850830078, -85.6095199584961 30.08307456970215, -85.60948181152344 30.083105087280273, -85.60961151123047 30.083229064941406, -85.60964965820312 30.083194732666016, -85.60955810546875 30.083105087280273, -85.60970306396484 30.082996368408203, -85.60981750488281 30.08310890197754, -85.60968017578125 30.08321189880371, -85.60970306396484 30.083232879638672, -85.60978698730469 30.08316993713379, -85.61021423339844 30.083580017089844), (-85.609375 30.08344078063965, -85.60919189453125 30.08326530456543, -85.60919952392578 30.0832576751709, -85.60938262939453 30.08343505859375, -85.609375 30.08344078063965), (-85.6086196899414 30.083229064941406, -85.60856628417969 30.083267211914062, -85.60853576660156 30.083236694335938, -85.60858917236328 30.08319854736328, -85.6086196899414 30.083229064941406), (-85.60870361328125 30.083162307739258, -85.60865020751953 30.083202362060547, -85.6086196899414 30.083175659179688, -85.60867309570312 30.0831356048584, -85.60870361328125 30.083162307739258), (-85.6087875366211 30.08309555053711, -85.60873413085938 30.083139419555664, -85.60870361328125 30.08310890197754, -85.60875701904297 30.083066940307617, -85.6087875366211 30.08309555053711), (-85.6089859008789 30.08308982849121, -85.60894012451172 30.083038330078125, -85.60896301269531 30.083019256591797, -85.60901641845703 30.08306884765625, -85.6089859008789 30.08308982849121), (-85.60909271240234 30.08292579650879, -85.60913848876953 30.082963943481445, -85.6090316772461 30.083044052124023, -85.60899353027344 30.083005905151367, -85.60909271240234 30.08292579650879))","{""type"":""multipolygon""}",relation
Parker,,,109,,32404,Blackshear Drive,,,,,,,,yes,,,,,,,,,,,,,,,,5041712995,1540171608,1,0,"MULTIPOLYGON (((-85.60372161865234 30.113222122192383, -85.60375213623047 30.113162994384766, -85.60377502441406 30.113170623779297, -85.60374450683594 30.113229751586914, -85.60372161865234 30.113222122192383)), ((-85.60369110107422 30.113210678100586, -85.60366821289062 30.113201141357422, -85.60368347167969 30.11318016052246, -85.60358428955078 30.113142013549805, -85.60357666015625 30.1131591796875, -85.60350799560547 30.113130569458008, -85.60355377197266 30.11305046081543, -85.6037368774414 30.113128662109375, -85.60369110107422 30.113210678100586)))","{""addr:state"":""FL"",""type"":""multipolygon""}",relation
Parker,,,4710,,32404-7156,Second Street,,Parker Public Library,,,+1 850-871-3092,,https://www.nwrls.com/parker-public-library/,yes,library,,,,,,,,,,,,,,,5059389236,1738544944,2,0,"POLYGON ((-85.60472106933594 30.129854202270508, -85.6047134399414 30.129348754882812, -85.60481262207031 30.12934684753418, -85.60481262207031 30.129512786865234, -85.6051254272461 30.1295108795166, -85.6051254272461 30.12944984436035, -85.60515594482422 30.12944984436035, -85.60515594482422 30.129682540893555, -85.60516357421875 30.129682540893555, -85.60516357421875 30.129724502563477, -85.60515594482422 30.129724502563477, -85.60515594482422 30.12974739074707, -85.60516357421875 30.12974739074707, -85.60516357421875 30.129796981811523, -85.6051254272461 30.129796981811523, -85.6051254272461 30.129783630371094, -85.60498046875 30.129785537719727, -85.60498046875 30.129749298095703, -85.60490417480469 30.129751205444336, -85.60490417480469 30.12971305847168, -85.60488891601562 30.12971305847168, -85.60488891601562 30.12971305847168, -85.60487365722656 30.12971305847168, -85.60487365722656 30.129852294921875, -85.60472106933594 30.129854202270508), (-85.6051254272461 30.12961196899414, -85.6051254272461 30.129539489746094, -85.60488891601562 30.129541397094727, -85.60488891601562 30.129680633544922, -85.60490417480469 30.129680633544922, -85.60490417480469 30.129642486572266, -85.60498046875 30.129642486572266, -85.60498046875 30.12961196899414, -85.6051254272461 30.12961196899414))","{""addr:county"":""Bay"",""addr:state"":""FL"",""nat_ref"":""FL0004-013"",""operator:type"":""public"",""type"":""multipolygon""}",relation
Parker,,,920,,32404,East Park Street,,,,,,,,yes,,,,,,,,,,,,,,,,5050551115,1540171608,1,0,"POLYGON ((-85.60421752929688 30.129859924316406, -85.60421752929688 30.129623413085938, -85.60443115234375 30.129623413085938, -85.60443115234375 30.12986183166504, -85.60421752929688 30.129859924316406), (-85.60427856445312 30.12981414794922, -85.60437774658203 30.12981414794922, -85.60437774658203 30.129667282104492, -85.60427856445312 30.129667282104492, -85.60427856445312 30.12981414794922))","{""addr:state"":""FL"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,hotel,,,,,,,,,,,,,,,,65197743566,1568422457,1,0,"POLYGON ((-85.7453384399414 30.133914947509766, -85.74531555175781 30.133943557739258, -85.74512481689453 30.13387107849121, -85.7451400756836 30.133838653564453, -85.74515533447266 30.133834838867188, -85.74514770507812 30.133808135986328, -85.74517822265625 30.133800506591797, -85.74515533447266 30.13375473022461, -85.74520111083984 30.133739471435547, -85.74518585205078 30.13370132446289, -85.74519348144531 30.133676528930664, -85.7452163696289 30.133670806884766, -85.7452392578125 30.13360595703125, -85.7452621459961 30.133602142333984, -85.74531555175781 30.133623123168945, -85.7453384399414 30.13361358642578, -85.745361328125 30.133623123168945, -85.74539184570312 30.133636474609375, -85.74539947509766 30.13365364074707, -85.74545288085938 30.1336727142334, -85.7454605102539 30.133689880371094, -85.74542236328125 30.133752822875977, -85.74543762207031 30.13376808166504, -85.74542236328125 30.133790969848633, -85.74537658691406 30.133806228637695, -85.74539184570312 30.13384246826172, -85.7453384399414 30.133859634399414, -85.745361328125 30.1339054107666, -85.7453384399414 30.133914947509766))","{""type"":""multipolygon""}",relation
Parker,,,640,,32404,South Highway 22A,,,,,,,,yes,,,,,,,,,,,,,,,,7075429221,1618838826,2,0,"POLYGON ((-85.60076904296875 30.136449813842773, -85.60076904296875 30.136028289794922, -85.60089874267578 30.136028289794922, -85.60089874267578 30.135887145996094, -85.600830078125 30.135887145996094, -85.600830078125 30.135961532592773, -85.60030364990234 30.135963439941406, -85.60030364990234 30.136022567749023, -85.60041809082031 30.136022567749023, -85.60041809082031 30.136445999145508, -85.60030364990234 30.136445999145508, -85.59999084472656 30.136445999145508, -85.59999084472656 30.13623809814453, -85.5999755859375 30.13623809814453, -85.5999755859375 30.136165618896484, -85.5999526977539 30.136165618896484, -85.5999526977539 30.136247634887695, -85.5999526977539 30.136377334594727, -85.5999526977539 30.136445999145508, -85.59980010986328 30.136445999145508, -85.59980010986328 30.136377334594727, -85.59972381591797 30.136377334594727, -85.59972381591797 30.136247634887695, -85.59972381591797 30.136165618896484, -85.59972381591797 30.135953903198242, -85.59972381591797 30.135887145996094, -85.5998306274414 30.135887145996094, -85.5998306274414 30.135953903198242, -85.5999526977539 30.135953903198242, -85.5999526977539 30.13597869873047, -85.6001205444336 30.13597869873047, -85.60015106201172 30.13597869873047, -85.60015106201172 30.136022567749023, -85.60026550292969 30.136022567749023, -85.60026550292969 30.135963439941406, -85.60000610351562 30.135963439941406, -85.60000610351562 30.135887145996094, -85.59998321533203 30.135887145996094, -85.59998321533203 30.135860443115234, -85.59998321533203 30.13585662841797, -85.5999755859375 30.13585662841797, -85.5999755859375 30.135799407958984, -85.60000610351562 30.13579750061035, -85.60004425048828 30.135787963867188, -85.60008239746094 30.13577651977539, -85.60011291503906 30.135757446289062, -85.60013580322266 30.13573455810547, -85.60015869140625 30.135709762573242, -85.60018157958984 30.135679244995117, -85.60018920898438 30.135648727416992, -85.6001968383789 30.135616302490234, -85.6001968383789 30.135583877563477, -85.60018920898438 30.13555145263672, -85.60017395019531 30.135520935058594, -85.60015869140625 30.1354923248291, -85.60013580322266 30.135465621948242, -85.60010528564453 30.13544464111328, -85.6000747680664 30.135427474975586, -85.60004425048828 30.135414123535156, -85.60000610351562 30.135406494140625, -85.59996795654297 30.135404586791992, -85.59996795654297 30.135347366333008, -85.59996795654297 30.13530731201172, -85.59971618652344 30.13530731201172, -85.59971618652344 30.13495635986328, -85.60028076171875 30.13495635986328, -85.60028076171875 30.134960174560547, -85.60033416748047 30.134960174560547, -85.60033416748047 30.134979248046875, -85.60033416748047 30.13511848449707, -85.60062408447266 30.135116577148438, -85.60062408447266 30.135141372680664, -85.60066986083984 30.135141372680664, -85.60066986083984 30.13517951965332, -85.60062408447266 30.13517951965332, -85.60062408447266 30.135223388671875, -85.60033416748047 30.135223388671875, -85.60033416748047 30.135326385498047, -85.600830078125 30.135326385498047, -85.600830078125 30.13541030883789, -85.60089874267578 30.13541030883789, -85.60089874267578 30.135353088378906, -85.60102844238281 30.135353088378906, -85.60103607177734 30.13557243347168, -85.60089874267578 30.135574340820312, -85.60089874267578 30.135705947875977, -85.6010513305664 30.135704040527344, -85.6010513305664 30.136449813842773, -85.60090637207031 30.136449813842773, -85.60076904296875 30.136449813842773), (-85.60087585449219 30.135574340820312, -85.600830078125 30.135574340820312, -85.600830078125 30.13564109802246, -85.60030364990234 30.135643005371094, -85.60030364990234 30.135860443115234, -85.60089874267578 30.1358585357666, -85.60089874267578 30.135725021362305, -85.60087585449219 30.135725021362305, -85.60087585449219 30.135574340820312), (-85.600830078125 30.135547637939453, -85.60087585449219 30.135547637939453, -85.60087585449219 30.135435104370117, -85.600830078125 30.135435104370117, -85.60030364990234 30.135435104370117, -85.60030364990234 30.13554573059082, -85.600830078125 30.13554573059082, -85.600830078125 30.135547637939453), (-85.60026550292969 30.135574340820312, -85.60026550292969 30.135435104370117, -85.60026550292969 30.135324478149414, -85.60028839111328 30.135324478149414, -85.60028839111328 30.135305404663086, -85.60002899169922 30.13530731201172, -85.60002899169922 30.135353088378906, -85.6000747680664 30.135364532470703, -85.6001205444336 30.1353816986084, -85.60015106201172 30.135404586791992, -85.60018920898438 30.13543128967285, -85.60021209716797 30.13546371459961, -85.60023498535156 30.135498046875, -85.60025024414062 30.135534286499023, -85.60025787353516 30.135574340820312, -85.60026550292969 30.135574340820312), (-85.60026550292969 30.135860443115234, -85.60026550292969 30.13563346862793, -85.60025787353516 30.13563346862793, -85.60025024414062 30.13567352294922, -85.60023498535156 30.135713577270508, -85.60021209716797 30.1357479095459, -85.60017395019531 30.135780334472656, -85.60014343261719 30.135807037353516, -85.60009765625 30.13582992553711, -85.60005187988281 30.135845184326172, -85.60000610351562 30.135854721069336, -85.60000610351562 30.135860443115234, -85.60026550292969 30.135860443115234), (-85.60030364990234 30.135276794433594, -85.60030364990234 30.134979248046875, -85.60028076171875 30.134979248046875, -85.60028839111328 30.135278701782227, -85.60030364990234 30.135276794433594), (-85.6001205444336 30.136001586914062, -85.5999755859375 30.136003494262695, -85.5999755859375 30.136022567749023, -85.6001205444336 30.136022567749023, -85.6001205444336 30.136001586914062))","{""type"":""multipolygon""}",relation
Parker,,,508,,32404,North 9th Plaza,,,,,,,,yes,,,,,,,,,,,,,,,,7084275735,1540421488,1,0,"POLYGON ((-85.60338592529297 30.1380558013916, -85.60338592529297 30.138010025024414, -85.60334777832031 30.138010025024414, -85.60334777832031 30.137954711914062, -85.60334777832031 30.137889862060547, -85.60338592529297 30.137889862060547, -85.60343170166016 30.137889862060547, -85.60343170166016 30.13791847229004, -85.60343170166016 30.137924194335938, -85.603515625 30.137924194335938, -85.603515625 30.137989044189453, -85.60347747802734 30.137989044189453, -85.60347747802734 30.138019561767578, -85.60346984863281 30.138019561767578, -85.60346984863281 30.138036727905273, -85.60346984863281 30.1380558013916, -85.60343170166016 30.1380558013916, -85.60338592529297 30.1380558013916), (-85.60340881347656 30.137929916381836, -85.60340881347656 30.137924194335938, -85.60338592529297 30.137924194335938, -85.60338592529297 30.137929916381836, -85.60340881347656 30.137929916381836))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,4962171285,1540156558,1,0,"POLYGON ((-85.64100646972656 30.14568519592285, -85.64100646972656 30.14571189880371, -85.64097595214844 30.145713806152344, -85.64097595214844 30.14568519592285, -85.64091491699219 30.14568519592285, -85.64091491699219 30.14561653137207, -85.6409912109375 30.145614624023438, -85.6409912109375 30.145605087280273, -85.64103698730469 30.145605087280273, -85.64103698730469 30.14561653137207, -85.64103698730469 30.145645141601562, -85.64107513427734 30.145645141601562, -85.64107513427734 30.145700454711914, -85.64103698730469 30.145702362060547, -85.64103698730469 30.14568519592285, -85.64100646972656 30.14568519592285))","{""type"":""multipolygon""}",relation
Panama City,,,106,,32401,North Rowe Avenue,,,,,,,,yes,,,,,,,,,,,,,,,,4971009024,1540156558,1,0,"MULTIPOLYGON (((-85.64328002929688 30.146772384643555, -85.64322662353516 30.146772384643555, -85.64322662353516 30.146692276000977, -85.64334869384766 30.146692276000977, -85.64334869384766 30.146697998046875, -85.64341735839844 30.146696090698242, -85.64341735839844 30.146774291992188, -85.64337921142578 30.146774291992188, -85.64337921142578 30.146751403808594, -85.64335632324219 30.146751403808594, -85.64335632324219 30.146770477294922, -85.64328002929688 30.146772384643555)), ((-85.64328002929688 30.146772384643555, -85.64330291748047 30.146772384643555, -85.64330291748047 30.14678382873535, -85.64328002929688 30.14678382873535, -85.64328002929688 30.146772384643555)))","{""addr:state"":""FL"",""type"":""multipolygon""}",relation
Panama City,,,1125,,32401,Cherry Street,,,,,,,,school,,,,,,,,,,,,,,,,4979846764,1540156559,1,0,"POLYGON ((-85.64500427246094 30.147504806518555, -85.64501190185547 30.1474609375, -85.64500427246094 30.14742660522461, -85.64496612548828 30.14739227294922, -85.6449203491211 30.14737892150879, -85.6448745727539 30.147388458251953, -85.64485168457031 30.147348403930664, -85.64490509033203 30.147340774536133, -85.64497375488281 30.147348403930664, -85.64502716064453 30.14737319946289, -85.64505004882812 30.147409439086914, -85.64505767822266 30.14743995666504, -85.64505767822266 30.147451400756836, -85.64508819580078 30.147451400756836, -85.64508819580078 30.147384643554688, -85.64521789550781 30.147384643554688, -85.64521026611328 30.147171020507812, -85.64498901367188 30.147172927856445, -85.64498138427734 30.14684295654297, -85.64521026611328 30.146841049194336, -85.64521026611328 30.146629333496094, -85.64494323730469 30.146631240844727, -85.64494323730469 30.1463623046875, -85.6452407836914 30.146360397338867, -85.6452407836914 30.146224975585938, -85.64586639404297 30.146221160888672, -85.64586639404297 30.14632225036621, -85.64598083496094 30.146320343017578, -85.64598083496094 30.146249771118164, -85.64651489257812 30.146244049072266, -85.64651489257812 30.146297454833984, -85.6466064453125 30.146297454833984, -85.6466064453125 30.146486282348633, -85.6464614868164 30.146486282348633, -85.6464614868164 30.146516799926758, -85.64642333984375 30.146516799926758, -85.64642333984375 30.146629333496094, -85.64652252197266 30.146629333496094, -85.64653015136719 30.146865844726562, -85.64602661132812 30.146869659423828, -85.6460189819336 30.14675521850586, -85.64588165283203 30.146757125854492, -85.64588928222656 30.14719581604004, -85.6457290649414 30.147197723388672, -85.6457290649414 30.147253036499023, -85.64524841308594 30.147258758544922, -85.64525604248047 30.14755630493164, -85.64508819580078 30.147558212280273, -85.64508819580078 30.147497177124023, -85.64505767822266 30.147499084472656, -85.64505004882812 30.147531509399414, -85.6449966430664 30.147581100463867, -85.64495849609375 30.147537231445312, -85.64500427246094 30.147504806518555), (-85.64610290527344 30.14651870727539, -85.64610290527344 30.14663314819336, -85.6463623046875 30.146631240844727, -85.6463623046875 30.146516799926758, -85.64610290527344 30.14651870727539), (-85.64602661132812 30.14663314819336, -85.64602661132812 30.146520614624023, -85.6458740234375 30.146522521972656, -85.6458740234375 30.14672088623047, -85.6460189819336 30.14672088623047, -85.6460189819336 30.14663314819336, -85.64602661132812 30.14663314819336), (-85.64584350585938 30.14672088623047, -85.64584350585938 30.146556854248047, -85.64579772949219 30.146556854248047, -85.64579772949219 30.146610260009766, -85.64525604248047 30.146615982055664, -85.64525604248047 30.146724700927734, -85.64584350585938 30.14672088623047), (-85.6458740234375 30.146507263183594, -85.64602661132812 30.14650535583496, -85.64602661132812 30.146432876586914, -85.64598083496094 30.146434783935547, -85.64598083496094 30.146347045898438, -85.64586639404297 30.14634895324707, -85.6458740234375 30.146507263183594), (-85.6458511352539 30.1469669342041, -85.6458511352539 30.14676284790039, -85.64571380615234 30.146764755249023, -85.64571380615234 30.14682960510254, -85.64524841308594 30.146833419799805, -85.64524841308594 30.146970748901367, -85.6458511352539 30.1469669342041), (-85.64583587646484 30.146516799926758, -85.64583587646484 30.14644432067871, -85.64540100097656 30.146448135375977, -85.64540100097656 30.146516799926758, -85.64578247070312 30.146512985229492, -85.64578247070312 30.146516799926758, -85.64583587646484 30.146516799926758), (-85.64584350585938 30.147174835205078, -85.64583587646484 30.14699935913086, -85.6456298828125 30.147001266479492, -85.64563751220703 30.147050857543945, -85.64524841308594 30.14705467224121, -85.64524841308594 30.147180557250977, -85.64584350585938 30.147174835205078))","{""addr:state"":""FL"",""type"":""multipolygon""}",relation
