addr:city,addr:country,addr:full,addr:housenumber,addr:housename,addr:postcode,addr:street,email,name,opening_hours,operator,phone,website,building,amenity,building:levels,building:material,craft,height,internet_access,office,shop,source,start_date,wikipedia,id,timestamp,version,changeset,geometry,tags,osm_type,ref,landuse,building:flats
,,,,,,,,,,,,,yes,,,,,,,,,,,,29803828033,1622135455,1,0,"POLYGON ((-92.38289642333984 34.651371002197266, -92.38277435302734 34.6513671875, -92.38278198242188 34.65126037597656, -92.38287353515625 34.65126419067383, -92.38286590576172 34.65135192871094, -92.38314819335938 34.6513671875, -92.3831558227539 34.651275634765625, -92.38329315185547 34.651283264160156, -92.38330841064453 34.65101623535156, -92.3831787109375 34.65100860595703, -92.38318634033203 34.65092086791992, -92.38300323486328 34.65091323852539, -92.38301086425781 34.65084457397461, -92.38290405273438 34.650840759277344, -92.3829116821289 34.650760650634766, -92.38280487060547 34.650753021240234, -92.38279724121094 34.650814056396484, -92.38275909423828 34.65081024169922, -92.38275909423828 34.650821685791016, -92.38273620605469 34.650821685791016, -92.38273620605469 34.650787353515625, -92.38264465332031 34.65078353881836, -92.38264465332031 34.65071105957031, -92.3823013305664 34.65069580078125, -92.38228607177734 34.650882720947266, -92.38226318359375 34.65122604370117, -92.38230895996094 34.65122985839844, -92.3823013305664 34.651329040527344, -92.3827133178711 34.65134811401367, -92.3827133178711 34.651405334472656, -92.38288879394531 34.65141677856445, -92.38289642333984 34.651371002197266), (-92.38232421875 34.650978088378906, -92.38230895996094 34.650978088378906, -92.38230895996094 34.6508903503418, -92.38233184814453 34.6508903503418, -92.38232421875 34.650978088378906), (-92.38230895996094 34.651187896728516, -92.38229370117188 34.651187896728516, -92.3823013305664 34.65104675292969, -92.38232421875 34.65105056762695, -92.38230895996094 34.651187896728516))","{""type"":""multipolygon""}",relation,,,
,,,,,,,,Parkview Christian Church,,,,,yes,place_of_worship,,,,,,,,,,,30721615853,1715665106,2,0,"POLYGON ((-92.345703125 34.66524887084961, -92.34571075439453 34.66499710083008, -92.34502410888672 34.664974212646484, -92.34501647949219 34.665225982666016, -92.345703125 34.66524887084961), (-92.34541320800781 34.665164947509766, -92.34542846679688 34.66515350341797, -92.3454360961914 34.66507339477539, -92.34542083740234 34.66505813598633, -92.34534454345703 34.66505813598633, -92.34532165527344 34.665069580078125, -92.34532165527344 34.6651496887207, -92.3453369140625 34.6651611328125, -92.34541320800781 34.665164947509766))","{""ele"":""85"",""gnis:feature_id"":""68450"",""religion"":""christian"",""type"":""multipolygon""}",relation,,,
,,,,,,,,,,,,,yes,place_of_worship,,,,,,,,microsoft/BuildingFootprints,,,29957464840,1622935423,1,0,"POLYGON ((-92.39078521728516 34.66799545288086, -92.39085388183594 34.66813659667969, -92.39077758789062 34.66816329956055, -92.39078521728516 34.668182373046875, -92.3907241821289 34.6682014465332, -92.39073944091797 34.66822814941406, -92.3907241821289 34.66823196411133, -92.39086151123047 34.66849899291992, -92.39137268066406 34.66831970214844, -92.3912124633789 34.66801071166992, -92.39111328125 34.66804504394531, -92.3910903930664 34.66800308227539, -92.39102172851562 34.668025970458984, -92.3909683227539 34.66791915893555, -92.39109802246094 34.66787338256836, -92.39106750488281 34.66781234741211, -92.3910903930664 34.66780471801758, -92.39108276367188 34.66777801513672, -92.39115142822266 34.667755126953125, -92.39103698730469 34.66752624511719, -92.39096069335938 34.66755294799805, -92.39095306396484 34.66754150390625, -92.39111328125 34.66748809814453, -92.39109802246094 34.66746520996094, -92.39093780517578 34.667518615722656, -92.39093017578125 34.667503356933594, -92.39097595214844 34.66748809814453, -92.39094543457031 34.66743087768555, -92.39078521728516 34.6674919128418, -92.39081573486328 34.66754913330078, -92.39077758789062 34.66756057739258, -92.39059448242188 34.667205810546875, -92.39039611816406 34.66727828979492, -92.39058685302734 34.66762924194336, -92.39054870605469 34.66764450073242, -92.39051818847656 34.66758346557617, -92.39034271240234 34.66764450073242, -92.390380859375 34.66770935058594, -92.39042663574219 34.66769027709961, -92.39043426513672 34.66769790649414, -92.39027404785156 34.667755126953125, -92.39028930664062 34.667789459228516, -92.39044189453125 34.66773223876953, -92.39044189453125 34.66773223876953, -92.39037322998047 34.66775894165039, -92.39049530029297 34.66799545288086, -92.39055633544922 34.667972564697266, -92.39057159423828 34.66800308227539, -92.39060974121094 34.667991638183594, -92.39064025878906 34.66804504394531, -92.39078521728516 34.66799545288086), (-92.39104461669922 34.667789459228516, -92.39092254638672 34.66783142089844, -92.39090728759766 34.66780090332031, -92.39087677001953 34.66781234741211, -92.39082336425781 34.66770935058594, -92.3905258178711 34.667816162109375, -92.39046478271484 34.667701721191406, -92.39091491699219 34.66754150390625, -92.39104461669922 34.667789459228516))","{""layer"":""-1"",""religion"":""christian"",""type"":""multipolygon""}",relation,,,
,,,,,,,,,,,,,yes,community_centre,,,,,,,,,,,6985412542,1737610270,2,0,"POLYGON ((-92.35736083984375 34.67347717285156, -92.3573989868164 34.67344284057617, -92.3574447631836 34.67340087890625, -92.3572998046875 34.67327880859375, -92.3572769165039 34.67326736450195, -92.3572769165039 34.67325973510742, -92.35733032226562 34.673274993896484, -92.35736083984375 34.67329788208008, -92.35738372802734 34.67329025268555, -92.3573989868164 34.67328643798828, -92.35736846923828 34.67325973510742, -92.3572998046875 34.67323303222656, -92.3572998046875 34.673221588134766, -92.3572769165039 34.673221588134766, -92.3572769165039 34.67323303222656, -92.35723114013672 34.67323303222656, -92.357177734375 34.67325973510742, -92.35714721679688 34.673282623291016, -92.35713958740234 34.67333984375, -92.35714721679688 34.673343658447266, -92.3571548461914 34.6733512878418, -92.35728454589844 34.67346954345703, -92.3573226928711 34.67344284057617, -92.35736083984375 34.67347717285156), (-92.35716247558594 34.673336029052734, -92.35718536376953 34.67331314086914, -92.357177734375 34.67329788208008, -92.35717010498047 34.673316955566406, -92.35716247558594 34.6733283996582, -92.35716247558594 34.673336029052734))","{""type"":""multipolygon""}",relation,,,
,,,,,,,,,,,,,yes,,,,,,,,,microsoft/BuildingFootprints,,,30162934579,1625245342,1,0,"POLYGON ((-92.36738586425781 34.67441177368164, -92.36721801757812 34.67414093017578, -92.3672866821289 34.67411422729492, -92.36721801757812 34.67399597167969, -92.36717987060547 34.67401123046875, -92.36699676513672 34.6737174987793, -92.3668441772461 34.67377853393555, -92.36703491210938 34.674076080322266, -92.3669204711914 34.67412185668945, -92.36699676513672 34.674232482910156, -92.36707305908203 34.6742057800293, -92.36723327636719 34.67447280883789, -92.36738586425781 34.67441177368164), (-92.36717224121094 34.67417907714844, -92.3671646118164 34.67416763305664, -92.36719512939453 34.67415237426758, -92.36720275878906 34.67416763305664, -92.36717224121094 34.67417907714844), (-92.36710357666016 34.6742057800293, -92.36709594726562 34.6741943359375, -92.36714172363281 34.67417526245117, -92.36714935302734 34.67418670654297, -92.36710357666016 34.6742057800293))","{""type"":""multipolygon""}",relation,,,
,,,,,,,,,,,,,roof,,1,,,9,,,,,,,79321633682,1738551856,1,0,"POLYGON ((-92.34034729003906 34.72149658203125, -92.34034729003906 34.72148895263672, -92.34033966064453 34.72148895263672, -92.34033966064453 34.72144317626953, -92.34033966064453 34.721378326416016, -92.3403549194336 34.721378326416016, -92.3403549194336 34.721370697021484, -92.34038543701172 34.721370697021484, -92.34053802490234 34.72137451171875, -92.34056091308594 34.72137451171875, -92.340576171875 34.72137451171875, -92.340576171875 34.72138214111328, -92.34058380126953 34.72138214111328, -92.34058380126953 34.72144317626953, -92.34058380126953 34.721492767333984, -92.34056854248047 34.721492767333984, -92.34056854248047 34.721500396728516, -92.34056091308594 34.721500396728516, -92.34053039550781 34.721500396728516, -92.3403549194336 34.72149658203125, -92.34034729003906 34.72149658203125), (-92.34053039550781 34.721458435058594, -92.34053039550781 34.72141647338867, -92.34040069580078 34.72141647338867, -92.34040069580078 34.72145462036133, -92.34053039550781 34.721458435058594))","{""layer"":""1"",""note"":""Height is estimated from memory."",""roof:shape"":""flat"",""type"":""multipolygon""}",relation,,,
,,,,,,,,Saint Theresa of Jesus Monastery,,,,,yes,place_of_worship,,,,,,,,,,,9198553912,1715665105,2,0,"POLYGON ((-92.35469818115234 34.72312927246094, -92.35464477539062 34.72312545776367, -92.35462188720703 34.72314453125, -92.35454559326172 34.723140716552734, -92.35455322265625 34.7230339050293, -92.35467529296875 34.72303771972656, -92.35472106933594 34.72307205200195, -92.35505676269531 34.723087310791016, -92.35506439208984 34.722999572753906, -92.35515594482422 34.722999572753906, -92.35515594482422 34.723087310791016, -92.35517120361328 34.72309112548828, -92.35516357421875 34.72331237792969, -92.35519409179688 34.72331237792969, -92.35518646240234 34.7235221862793, -92.35527801513672 34.72352981567383, -92.35527801513672 34.723567962646484, -92.35523986816406 34.723567962646484, -92.35523986816406 34.72359085083008, -92.35501098632812 34.72358322143555, -92.35501098632812 34.72350311279297, -92.35467529296875 34.723487854003906, -92.35468292236328 34.723426818847656, -92.3546371459961 34.723426818847656, -92.35464477539062 34.723358154296875, -92.35468292236328 34.72336196899414, -92.35469818115234 34.72312927246094), (-92.35501098632812 34.723182678222656, -92.35499572753906 34.723392486572266, -92.35481262207031 34.723384857177734, -92.35482025146484 34.723182678222656, -92.35501098632812 34.723182678222656))","{""ele"":""113"",""gnis:feature_id"":""68523"",""religion"":""christian"",""type"":""multipolygon""}",relation,,,
,,,,,,,,Pulaski County Jail,,,,,yes,,,,,,,,,USGS Geonames,,,7940049678,1715665102,3,0,"POLYGON ((-92.30964660644531 34.724449157714844, -92.30949401855469 34.72444152832031, -92.30950927734375 34.724246978759766, -92.30921173095703 34.72422790527344, -92.30926513671875 34.72356033325195, -92.3092269897461 34.72356033325195, -92.30924224853516 34.72346878051758, -92.30927276611328 34.72346878051758, -92.30927276611328 34.723445892333984, -92.3092041015625 34.723384857177734, -92.30921173095703 34.7232551574707, -92.30929565429688 34.72319030761719, -92.30943298339844 34.72319793701172, -92.30950927734375 34.7232780456543, -92.30950927734375 34.72331619262695, -92.30955505371094 34.72331619262695, -92.30956268310547 34.72327423095703, -92.30964660644531 34.723209381103516, -92.30978393554688 34.72321319580078, -92.309814453125 34.723236083984375, -92.30986785888672 34.723289489746094, -92.30986022949219 34.72332763671875, -92.30997467041016 34.723331451416016, -92.30998229980469 34.72325897216797, -92.31007385253906 34.7232666015625, -92.31008911132812 34.72299575805664, -92.31004333496094 34.72294998168945, -92.31005096435547 34.72287368774414, -92.31011199951172 34.72282791137695, -92.31012725830078 34.72256088256836, -92.3101806640625 34.722564697265625, -92.3101806640625 34.722537994384766, -92.31031036376953 34.7225456237793, -92.31031036376953 34.722572326660156, -92.31041717529297 34.72257614135742, -92.3104019165039 34.72283935546875, -92.31046295166016 34.722843170166016, -92.3104476928711 34.722984313964844, -92.31041717529297 34.722984313964844, -92.31038665771484 34.72330856323242, -92.31043243408203 34.72331237792969, -92.31043243408203 34.723350524902344, -92.31090545654297 34.72337341308594, -92.31090545654297 34.723350524902344, -92.31098937988281 34.72335433959961, -92.31098937988281 34.72338104248047, -92.31120300292969 34.723384857177734, -92.3111801147461 34.7236328125, -92.31112670898438 34.723628997802734, -92.31112670898438 34.7236442565918, -92.31085205078125 34.723628997802734, -92.31085205078125 34.72361755371094, -92.31075286865234 34.723609924316406, -92.31075286865234 34.72362518310547, -92.31047821044922 34.72360610961914, -92.31047821044922 34.72359085083008, -92.3104248046875 34.72358703613281, -92.3104248046875 34.723567962646484, -92.3104019165039 34.72356414794922, -92.31039428710938 34.72365188598633, -92.3102798461914 34.72364807128906, -92.3102798461914 34.72366714477539, -92.31031036376953 34.72366714477539, -92.31031036376953 34.72370910644531, -92.31033325195312 34.72370910644531, -92.31031799316406 34.72394561767578, -92.310302734375 34.723941802978516, -92.31029510498047 34.72402572631836, -92.31031036376953 34.72402572631836, -92.31028747558594 34.724246978759766, -92.31027221679688 34.724246978759766, -92.31026458740234 34.72428894042969, -92.31001281738281 34.72427749633789, -92.31002044677734 34.724212646484375, -92.30989837646484 34.72420883178711, -92.30988311767578 34.724395751953125, -92.30965423583984 34.72438049316406, -92.30964660644531 34.724449157714844), (-92.30990600585938 34.72416687011719, -92.30962371826172 34.72414779663086, -92.30962371826172 34.72416305541992, -92.30951690673828 34.724151611328125, -92.30953979492188 34.723907470703125, -92.3095703125 34.723907470703125, -92.30957794189453 34.72383117675781, -92.3095474243164 34.72383117675781, -92.30956268310547 34.723575592041016, -92.30998992919922 34.723594665527344, -92.30998992919922 34.7236328125, -92.3100357055664 34.723636627197266, -92.31002044677734 34.72385025024414, -92.30999755859375 34.72385025024414, -92.30998992919922 34.72392654418945, -92.31001281738281 34.72393035888672, -92.30999755859375 34.724178314208984, -92.30990600585938 34.724178314208984, -92.30990600585938 34.72416687011719))","{""ele"":""90"",""type"":""multipolygon""}",relation,,,
,,,,,,,,,,,,,yes,,,,,,,,,,,,48911266931,1688155616,1,0,"POLYGON ((-92.26372528076172 34.724586486816406, -92.2634048461914 34.724605560302734, -92.26339721679688 34.72449493408203, -92.26331329345703 34.7244987487793, -92.2633285522461 34.724609375, -92.26326751708984 34.724609375, -92.26326751708984 34.72460174560547, -92.26304626464844 34.724613189697266, -92.26305389404297 34.72465515136719, -92.26289367675781 34.724666595458984, -92.26287078857422 34.72433853149414, -92.26241302490234 34.724365234375, -92.26246643066406 34.72486114501953, -92.26241302490234 34.725135803222656, -92.26280975341797 34.725181579589844, -92.26283264160156 34.72509765625, -92.26309204101562 34.72512435913086, -92.2630844116211 34.72514724731445, -92.26324462890625 34.72517013549805, -92.26329040527344 34.724918365478516, -92.2633056640625 34.724918365478516, -92.2633056640625 34.72492980957031, -92.26345825195312 34.72492980957031, -92.2634506225586 34.72498321533203, -92.26350402832031 34.7249870300293, -92.26349639892578 34.72502517700195, -92.26380157470703 34.725032806396484, -92.26380920410156 34.72496795654297, -92.26388549804688 34.724971771240234, -92.26387786865234 34.725215911865234, -92.26396942138672 34.7252197265625, -92.26396942138672 34.72526168823242, -92.26412963867188 34.72526168823242, -92.26412963867188 34.725223541259766, -92.26417541503906 34.725223541259766, -92.2641830444336 34.7249755859375, -92.26407623291016 34.724971771240234, -92.26407623291016 34.72494888305664, -92.26420593261719 34.72494888305664, -92.26421356201172 34.72488784790039, -92.26407623291016 34.72488784790039, -92.26408386230469 34.724857330322266, -92.26419067382812 34.72486114501953, -92.26420593261719 34.724609375, -92.26416015625 34.724609375, -92.26416015625 34.724571228027344, -92.26399993896484 34.72456741333008, -92.26399993896484 34.724609375, -92.26390075683594 34.72460174560547, -92.2638931274414 34.724849700927734, -92.26380920410156 34.72484588623047, -92.26380920410156 34.72478485107422, -92.26351165771484 34.72477340698242, -92.26351165771484 34.724857330322266, -92.26345825195312 34.724857330322266, -92.26345825195312 34.72486114501953, -92.2633056640625 34.724853515625, -92.2633056640625 34.7248649597168, -92.26329040527344 34.72486114501953, -92.2632827758789 34.7247200012207, -92.26373291015625 34.724693298339844, -92.26372528076172 34.724586486816406), (-92.26300811767578 34.7249641418457, -92.26301574707031 34.72488784790039, -92.26300811767578 34.72480010986328, -92.2629165649414 34.72480392456055, -92.26292419433594 34.72488784790039, -92.2629165649414 34.724952697753906, -92.26300811767578 34.7249641418457))","{""type"":""multipolygon""}",relation,,,
,,,,,,,,,,,,,yes,,,,,,,,,microsoft/BuildingFootprints,,,29842166720,1622644295,1,0,"POLYGON ((-92.27388763427734 34.72923278808594, -92.27388000488281 34.729618072509766, -92.27434539794922 34.72962951660156, -92.27434539794922 34.72952651977539, -92.27433013916016 34.72952651977539, -92.27433776855469 34.7292594909668, -92.2743148803711 34.7292594909668, -92.27432250976562 34.7290153503418, -92.27397155761719 34.729007720947266, -92.27396392822266 34.72914123535156, -92.27416229248047 34.72914505004883, -92.27416229248047 34.72924041748047, -92.27388763427734 34.72923278808594), (-92.2741928100586 34.72951889038086, -92.2740249633789 34.729515075683594, -92.27403259277344 34.72935104370117, -92.27420043945312 34.72935485839844, -92.2741928100586 34.72951889038086))","{""type"":""multipolygon""}",relation,,,
