addr:city,addr:country,addr:full,addr:housenumber,addr:housename,addr:postcode,addr:place,addr:street,email,name,opening_hours,operator,phone,ref,url,website,building,amenity,building:flats,building:levels,building:material,building:min_level,building:use,craft,height,internet_access,landuse,office,shop,source,start_date,wikipedia,id,timestamp,version,changeset,geometry,tags,osm_type
,,,,,,,,,,,,,,,,warehouse,,,,,,,,,,,,,,,,102161981469,1641610545,1,0,"POLYGON ((-122.7238998413086 38.40336608886719, -122.72454833984375 38.40336608886719, -122.72454833984375 38.40365219116211, -122.72444915771484 38.40365219116211, -122.72444915771484 38.4036750793457, -122.7238998413086 38.4036750793457, -122.7238998413086 38.403690338134766, -122.72373962402344 38.4036865234375, -122.72373962402344 38.403419494628906, -122.7238998413086 38.403419494628906, -122.7238998413086 38.40336608886719), (-122.72388458251953 38.40342330932617, -122.7237548828125 38.40342712402344, -122.7237548828125 38.40345001220703, -122.72388458251953 38.403446197509766, -122.72388458251953 38.40342330932617))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,102148333473,1641610545,1,0,"MULTIPOLYGON (((-122.7349853515625 38.40693664550781, -122.7349853515625 38.40684509277344, -122.73487854003906 38.40684509277344, -122.73487854003906 38.40692901611328, -122.73477172851562 38.40692901611328, -122.73477172851562 38.40684509277344, -122.73472595214844 38.40684509277344, -122.73472595214844 38.40682601928711, -122.73472595214844 38.406822204589844, -122.73472595214844 38.40679931640625, -122.73450469970703 38.40679931640625, -122.73446655273438 38.406829833984375, -122.73445892333984 38.40683364868164, -122.73442077636719 38.406803131103516, -122.73442840576172 38.40679931640625, -122.73442840576172 38.40644073486328, -122.73442077636719 38.40644073486328, -122.73424530029297 38.40644073486328, -122.73424530029297 38.406639099121094, -122.73424530029297 38.40672302246094, -122.73423767089844 38.40672302246094, -122.73423767089844 38.40673828125, -122.73389434814453 38.40673828125, -122.73389434814453 38.40672302246094, -122.73389434814453 38.406639099121094, -122.73381042480469 38.406639099121094, -122.73381042480469 38.40644454956055, -122.73381042480469 38.40641403198242, -122.73381042480469 38.406333923339844, -122.73381042480469 38.40603256225586, -122.73381805419922 38.40603256225586, -122.7338638305664 38.40603256225586, -122.7339859008789 38.40603256225586, -122.7343521118164 38.40603256225586, -122.7343521118164 38.405887603759766, -122.7343521118164 38.4058837890625, -122.73443603515625 38.40581512451172, -122.73429107666016 38.405696868896484, -122.73413848876953 38.405818939208984, -122.73413848876953 38.405853271484375, -122.73419189453125 38.405853271484375, -122.73419189453125 38.40596389770508, -122.73384094238281 38.40596389770508, -122.73384094238281 38.4058837890625, -122.73381805419922 38.4058837890625, -122.73381805419922 38.405540466308594, -122.73391723632812 38.405540466308594, -122.73391723632812 38.405517578125, -122.7341079711914 38.405517578125, -122.7341079711914 38.405235290527344, -122.7339859008789 38.40513610839844, -122.73445129394531 38.4047737121582, -122.73457336425781 38.40487289428711, -122.73481750488281 38.40487289428711, -122.73481750488281 38.404781341552734, -122.73481750488281 38.40473556518555, -122.73504638671875 38.40473556518555, -122.73505401611328 38.40473556518555, -122.73509216308594 38.40473556518555, -122.73544311523438 38.40473556518555, -122.73548126220703 38.40473556518555, -122.73580932617188 38.40473556518555, -122.73580932617188 38.40475082397461, -122.73588562011719 38.40475082397461, -122.73588562011719 38.404815673828125, -122.73590850830078 38.404815673828125, -122.73590850830078 38.40492248535156, -122.73587036132812 38.40492248535156, -122.73587036132812 38.405155181884766, -122.73582458496094 38.405155181884766, -122.73582458496094 38.40523910522461, -122.73570251464844 38.40523910522461, -122.73570251464844 38.40526580810547, -122.73548126220703 38.40526580810547, -122.73548126220703 38.40538024902344, -122.73595428466797 38.40538024902344, -122.73595428466797 38.40546417236328, -122.73600006103516 38.40546417236328, -122.73600006103516 38.40549087524414, -122.736083984375 38.40549087524414, -122.7361068725586 38.40549087524414, -122.73611450195312 38.405738830566406, -122.736083984375 38.405738830566406, -122.736083984375 38.40591049194336, -122.7361068725586 38.40591049194336, -122.7361068725586 38.40599060058594, -122.73596954345703 38.40599060058594, -122.73596954345703 38.40593719482422, -122.7358627319336 38.40593719482422, -122.73548126220703 38.40593719482422, -122.73548126220703 38.40610122680664, -122.7358627319336 38.406097412109375, -122.7359390258789 38.406097412109375, -122.73596954345703 38.406097412109375, -122.73596954345703 38.40604782104492, -122.736083984375 38.40604782104492, -122.7361068725586 38.40604782104492, -122.7361068725586 38.406131744384766, -122.736083984375 38.406131744384766, -122.736083984375 38.40629959106445, -122.73611450195312 38.40629959106445, -122.73611450195312 38.40679168701172, -122.73600006103516 38.40679168701172, -122.73600006103516 38.406707763671875, -122.73596954345703 38.406707763671875, -122.73596954345703 38.40650177001953, -122.73600006103516 38.40650177001953, -122.73600006103516 38.40629959106445, -122.73596954345703 38.40629959106445, -122.73596954345703 38.40633010864258, -122.73564910888672 38.40633010864258, -122.73564910888672 38.40640640258789, -122.73590087890625 38.4066047668457, -122.73590087890625 38.40665054321289, -122.73574829101562 38.406768798828125, -122.7356948852539 38.406768798828125, -122.73568725585938 38.40676498413086, -122.73544311523438 38.40657043457031, -122.73534393310547 38.40657043457031, -122.73534393310547 38.40682601928711, -122.73529815673828 38.40682601928711, -122.73529815673828 38.40691375732422, -122.7350845336914 38.40691375732422, -122.7350845336914 38.40693664550781, -122.7349853515625 38.40693664550781), (-122.7343521118164 38.406333923339844, -122.7338638305664 38.406333923339844, -122.73384094238281 38.406333923339844, -122.73384094238281 38.40641403198242, -122.7343521118164 38.40641403198242, -122.7343521118164 38.406333923339844), (-122.73505401611328 38.405086517333984, -122.73481750488281 38.404903411865234, -122.7345962524414 38.404903411865234, -122.73414611816406 38.40525436401367, -122.73414611816406 38.405517578125, -122.73414611816406 38.405540466308594, -122.73446655273438 38.405792236328125, -122.73483276367188 38.4055061340332, -122.73481750488281 38.405494689941406, -122.73486328125 38.405460357666016, -122.73487854003906 38.40547180175781, -122.73505401611328 38.405330657958984, -122.73505401611328 38.40532684326172, -122.73505401611328 38.405296325683594, -122.73505401611328 38.405086517333984), (-122.73504638671875 38.406288146972656, -122.73475646972656 38.406063079833984, -122.7347183227539 38.406036376953125, -122.73446655273438 38.40583801269531, -122.73446655273438 38.40583419799805, -122.73439025878906 38.40589904785156, -122.73439025878906 38.40641403198242, -122.73442077636719 38.40641403198242, -122.73457336425781 38.40641403198242, -122.73457336425781 38.40632629394531, -122.73458862304688 38.406307220458984, -122.73457336425781 38.40630340576172, -122.73458862304688 38.406272888183594, -122.73448944091797 38.4062385559082, -122.73454284667969 38.40614318847656, -122.7346420288086 38.40617752075195, -122.73464965820312 38.406166076660156, -122.7347183227539 38.40618896484375, -122.73471069335938 38.40620040893555, -122.73480987548828 38.4062385559082, -122.73475646972656 38.406333923339844, -122.73465728759766 38.40629577636719, -122.7346420288086 38.40632629394531, -122.73462677001953 38.40632247924805, -122.734619140625 38.406333923339844, -122.734619140625 38.40641403198242, -122.73504638671875 38.40641403198242, -122.73504638671875 38.4063606262207, -122.73504638671875 38.406288146972656), (-122.73505401611328 38.40582275390625, -122.73499298095703 38.4057731628418, -122.73477172851562 38.40559768676758, -122.7347183227539 38.4056396484375, -122.73500061035156 38.40586471557617, -122.73505401611328 38.40582275390625), (-122.73485565185547 38.40602493286133, -122.73482513427734 38.406005859375, -122.73479461669922 38.40597915649414, -122.73474884033203 38.40601348876953, -122.73477935791016 38.40604019165039, -122.73480224609375 38.406063079833984, -122.73485565185547 38.40602493286133), (-122.73504638671875 38.40644073486328, -122.7347640991211 38.40644073486328, -122.7347640991211 38.406822204589844, -122.7349853515625 38.406822204589844, -122.73504638671875 38.406822204589844, -122.73504638671875 38.406532287597656, -122.73504638671875 38.40644073486328), (-122.73502349853516 38.40616226196289, -122.73493194580078 38.40608596801758, -122.7348861694336 38.406124114990234, -122.73497772216797 38.40620040893555, -122.73502349853516 38.40616226196289), (-122.73524475097656 38.406105041503906, -122.73519134521484 38.406063079833984, -122.73504638671875 38.40617752075195, -122.73500061035156 38.40621566772461, -122.73505401611328 38.40625762939453, -122.73524475097656 38.406105041503906), (-122.73544311523438 38.40532684326172, -122.73509216308594 38.40532684326172, -122.73509216308594 38.405330657958984, -122.73509216308594 38.40534210205078, -122.7350845336914 38.40534973144531, -122.73530578613281 38.40552520751953, -122.73516845703125 38.405635833740234, -122.73515319824219 38.405643463134766, -122.73523712158203 38.405704498291016, -122.73526763916016 38.405704498291016, -122.73526763916016 38.40570831298828, -122.73544311523438 38.40570831298828, -122.73544311523438 38.40532684326172), (-122.73544311523438 38.4061279296875, -122.7353744506836 38.4061279296875, -122.7353744506836 38.40616989135742, -122.73516082763672 38.40633773803711, -122.7351303100586 38.4063606262207, -122.7350845336914 38.4063606262207, -122.7350845336914 38.40641403198242, -122.73529052734375 38.40641403198242, -122.73542022705078 38.40630340576172, -122.73544311523438 38.406288146972656, -122.73544311523438 38.4061279296875), (-122.73544311523438 38.40517807006836, -122.73509216308594 38.40517807006836, -122.73509216308594 38.405296325683594, -122.73544311523438 38.405296325683594, -122.73544311523438 38.40517807006836), (-122.735595703125 38.40633010864258, -122.7354507446289 38.40633010864258, -122.73534393310547 38.40641784667969, -122.73534393310547 38.406532287597656, -122.73544311523438 38.406532287597656, -122.735595703125 38.40641403198242, -122.735595703125 38.40633010864258), (-122.73596954345703 38.405494689941406, -122.73595428466797 38.405494689941406, -122.73548126220703 38.405494689941406, -122.73548126220703 38.40570831298828, -122.7359390258789 38.40570831298828, -122.73596954345703 38.40570831298828, -122.73596954345703 38.405494689941406), (-122.7359390258789 38.406131744384766, -122.7358627319336 38.406131744384766, -122.7358627319336 38.40629959106445, -122.7359390258789 38.40629959106445, -122.7359390258789 38.406131744384766)), ((-122.73450469970703 38.40694808959961, -122.73450469970703 38.406856536865234, -122.73468017578125 38.406856536865234, -122.73468017578125 38.40694808959961, -122.73450469970703 38.40694808959961)))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,102134685478,1641610545,1,0,"POLYGON ((-122.72462463378906 38.4077262878418, -122.72461700439453 38.407470703125, -122.72465515136719 38.407470703125, -122.72465515136719 38.4073371887207, -122.72470092773438 38.40733337402344, -122.72469329833984 38.407108306884766, -122.7247085571289 38.407108306884766, -122.72478485107422 38.407108306884766, -122.72477722167969 38.406925201416016, -122.72476959228516 38.406925201416016, -122.72476959228516 38.40688705444336, -122.72477722167969 38.40688705444336, -122.72477722167969 38.406715393066406, -122.7247085571289 38.40671920776367, -122.72461700439453 38.40671920776367, -122.72461700439453 38.4066276550293, -122.72451782226562 38.4066276550293, -122.7245101928711 38.40663146972656, -122.72447204589844 38.40663528442383, -122.7244644165039 38.4066276550293, -122.72428894042969 38.4066276550293, -122.72428894042969 38.406700134277344, -122.72422790527344 38.406700134277344, -122.72423553466797 38.406707763671875, -122.72413635253906 38.40671157836914, -122.72413635253906 38.406707763671875, -122.7240982055664 38.406707763671875, -122.72410583496094 38.40689468383789, -122.72412872314453 38.40689468383789, -122.72412872314453 38.406890869140625, -122.72422790527344 38.406890869140625, -122.7242431640625 38.40690612792969, -122.72428131103516 38.40690231323242, -122.72428894042969 38.40735626220703, -122.72409057617188 38.4073600769043, -122.72408294677734 38.40692138671875, -122.72406768798828 38.406925201416016, -122.72406768798828 38.406707763671875, -122.72396087646484 38.40671157836914, -122.72396087646484 38.40666961669922, -122.72391510009766 38.40666961669922, -122.72390747070312 38.406497955322266, -122.7239990234375 38.406497955322266, -122.72400665283203 38.406673431396484, -122.72408294677734 38.406673431396484, -122.72407531738281 38.40650177001953, -122.72412872314453 38.40650177001953, -122.72412872314453 38.406436920166016, -122.72402954101562 38.40644073486328, -122.72402954101562 38.40639114379883, -122.72401428222656 38.40639114379883, -122.72400665283203 38.40613555908203, -122.72408294677734 38.40613555908203, -122.72409057617188 38.40638732910156, -122.72406005859375 38.40638732910156, -122.72406005859375 38.406402587890625, -122.72428894042969 38.406402587890625, -122.72428894042969 38.40638732910156, -122.7242660522461 38.40638732910156, -122.72425842285156 38.40613555908203, -122.72433471679688 38.406131744384766, -122.72433471679688 38.4063835144043, -122.72431945800781 38.4063835144043, -122.72431945800781 38.406402587890625, -122.72438049316406 38.406402587890625, -122.72437286376953 38.40626907348633, -122.72457885742188 38.40626907348633, -122.7245864868164 38.40639877319336, -122.72463989257812 38.40639877319336, -122.72463989257812 38.40638732910156, -122.7246322631836 38.40638732910156, -122.72462463378906 38.40613555908203, -122.72469329833984 38.406131744384766, -122.72470092773438 38.4063835144043, -122.72467041015625 38.4063835144043, -122.72467041015625 38.40639877319336, -122.7247085571289 38.40639877319336, -122.72490692138672 38.406394958496094, -122.72490692138672 38.4063835144043, -122.7248764038086 38.4063835144043, -122.7248764038086 38.406131744384766, -122.7249526977539 38.406131744384766, -122.7249526977539 38.4063835144043, -122.72493743896484 38.4063835144043, -122.72493743896484 38.406394958496094, -122.72493743896484 38.406394958496094, -122.72494506835938 38.406429290771484, -122.72493743896484 38.406429290771484, -122.72493743896484 38.40644836425781, -122.7249526977539 38.40644836425781, -122.72496032714844 38.406700134277344, -122.72488403320312 38.406700134277344, -122.7248764038086 38.40645217895508, -122.72490692138672 38.40645217895508, -122.72490692138672 38.40643310546875, -122.7247085571289 38.406436920166016, -122.72467041015625 38.406436920166016, -122.72467041015625 38.40644836425781, -122.72470092773438 38.40644836425781, -122.7247085571289 38.40668869018555, -122.7247085571289 38.40668869018555, -122.72480773925781 38.40668869018555, -122.72480773925781 38.40676498413086, -122.72499084472656 38.406761169433594, -122.7249984741211 38.40704345703125, -122.72480773925781 38.40704345703125, -122.72481536865234 38.407108306884766, -122.72489929199219 38.407108306884766, -122.72489929199219 38.40736389160156, -122.72486877441406 38.40736389160156, -122.72486877441406 38.40739440917969, -122.72491455078125 38.40739440917969, -122.72491455078125 38.407386779785156, -122.72500610351562 38.40738296508789, -122.72500610351562 38.40744400024414, -122.72492218017578 38.40744400024414, -122.72492218017578 38.40743637084961, -122.72486877441406 38.40743637084961, -122.72486877441406 38.40747833251953, -122.72490692138672 38.40747833251953, -122.72490692138672 38.40757751464844, -122.72482299804688 38.40757751464844, -122.72482299804688 38.40772247314453, -122.72471618652344 38.4077262878418, -122.72462463378906 38.4077262878418), (-122.72463989257812 38.40645217895508, -122.72463989257812 38.40644073486328, -122.7245864868164 38.40644073486328, -122.7245864868164 38.40659713745117, -122.72462463378906 38.40659713745117, -122.72462463378906 38.40645217895508, -122.72463989257812 38.40645217895508), (-122.72438049316406 38.40659713745117, -122.72438049316406 38.40644073486328, -122.72416687011719 38.40644073486328, -122.72416687011719 38.406497955322266, -122.72427368164062 38.406497955322266, -122.72427368164062 38.40659713745117, -122.72438049316406 38.40659713745117))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,101165684023,1641603972,1,0,"POLYGON ((-122.72425079345703 38.41709518432617, -122.72428131103516 38.417213439941406, -122.72401428222656 38.417259216308594, -122.72399139404297 38.41715621948242, -122.72405242919922 38.417144775390625, -122.72404479980469 38.41712188720703, -122.72409057617188 38.417118072509766, -122.7240982055664 38.417137145996094, -122.72413635253906 38.41713333129883, -122.7241439819336 38.41715621948242, -122.72415161132812 38.417152404785156, -122.72413635253906 38.417110443115234, -122.72425079345703 38.41709518432617), (-122.72420501708984 38.41716384887695, -122.72415161132812 38.417171478271484, -122.72415924072266 38.41718673706055, -122.72421264648438 38.41717529296875, -122.72420501708984 38.41716384887695))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,101083797108,1641603601,1,0,"POLYGON ((-122.74028778076172 38.421165466308594, -122.74029541015625 38.42121124267578, -122.74028015136719 38.42121124267578, -122.74028778076172 38.421268463134766, -122.74030303955078 38.4212646484375, -122.74031066894531 38.42131423950195, -122.74017333984375 38.421321868896484, -122.74017333984375 38.42129898071289, -122.74009704589844 38.421302795410156, -122.74010467529297 38.421329498291016, -122.7399673461914 38.42133712768555, -122.7399673461914 38.421295166015625, -122.73997497558594 38.42129135131836, -122.7399673461914 38.421234130859375, -122.73995208740234 38.42123794555664, -122.73995208740234 38.42118453979492, -122.74008178710938 38.42117691040039, -122.74008178710938 38.42120361328125, -122.74015808105469 38.421199798583984, -122.74015808105469 38.421173095703125, -122.74028778076172 38.421165466308594), (-122.74015808105469 38.421234130859375, -122.7400894165039 38.421234130859375, -122.74009704589844 38.42127227783203, -122.74015808105469 38.42127227783203, -122.74015808105469 38.421234130859375))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,101124740547,1641603601,1,0,"POLYGON ((-122.73960876464844 38.42124557495117, -122.73971557617188 38.4212532043457, -122.73970794677734 38.421268463134766, -122.73974609375 38.42127227783203, -122.73973846435547 38.42133331298828, -122.73971557617188 38.42133331298828, -122.73970794677734 38.42135238647461, -122.73974609375 38.42135238647461, -122.73973083496094 38.42148208618164, -122.73968505859375 38.42148208618164, -122.73968505859375 38.4214973449707, -122.73958587646484 38.42148971557617, -122.73959350585938 38.421451568603516, -122.73951721191406 38.42144775390625, -122.73951721191406 38.42148971557617, -122.73941802978516 38.42148208618164, -122.73941802978516 38.42146682739258, -122.73936462402344 38.42146301269531, -122.73938751220703 38.421321868896484, -122.73943328857422 38.42132568359375, -122.73943328857422 38.42131042480469, -122.7395248413086 38.42131423950195, -122.73951721191406 38.421348571777344, -122.73959350585938 38.42135238647461, -122.73960876464844 38.42124557495117), (-122.73953247070312 38.421382904052734, -122.7395248413086 38.42142105102539, -122.73957824707031 38.421424865722656, -122.73958587646484 38.42138671875, -122.73953247070312 38.421382904052734))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,101111092733,1641603601,1,0,"POLYGON ((-122.74027252197266 38.42142868041992, -122.74028015136719 38.42144012451172, -122.74032592773438 38.42143630981445, -122.74034118652344 38.42158126831055, -122.74029541015625 38.42158508300781, -122.74030303955078 38.421600341796875, -122.74020385742188 38.42160415649414, -122.74019622802734 38.42156982421875, -122.74011993408203 38.42157745361328, -122.74012756347656 38.421607971191406, -122.74003601074219 38.42161178588867, -122.74003601074219 38.421627044677734, -122.73997497558594 38.421630859375, -122.73995971679688 38.42146682739258, -122.7400131225586 38.42146682739258, -122.74000549316406 38.42144775390625, -122.74010467529297 38.42144012451172, -122.74010467529297 38.42147445678711, -122.74018859863281 38.421470642089844, -122.74018096923828 38.42143249511719, -122.74027252197266 38.42142868041992), (-122.74018096923828 38.42150115966797, -122.74011993408203 38.4215087890625, -122.74012756347656 38.42154312133789, -122.74018096923828 38.421539306640625, -122.74018096923828 38.42150115966797))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,101152036192,1641603972,1,0,"POLYGON ((-122.71794891357422 38.42194366455078, -122.71794128417969 38.421714782714844, -122.71791076660156 38.421714782714844, -122.71791076660156 38.42165756225586, -122.71794128417969 38.42165756225586, -122.71794128417969 38.42121124267578, -122.718017578125 38.421207427978516, -122.718017578125 38.42130661010742, -122.7183609008789 38.42130661010742, -122.71836853027344 38.42194366455078, -122.71794891357422 38.42194366455078), (-122.71822357177734 38.421756744384766, -122.7179946899414 38.421756744384766, -122.7179946899414 38.42180633544922, -122.71822357177734 38.42180633544922, -122.71822357177734 38.421756744384766), (-122.71824645996094 38.42156982421875, -122.71803283691406 38.42156982421875, -122.71803283691406 38.42161560058594, -122.71821594238281 38.42161560058594, -122.71824645996094 38.42161560058594, -122.71824645996094 38.42156982421875))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,101056501487,1641603601,1,0,"POLYGON ((-122.7391128540039 38.4215087890625, -122.73928833007812 38.421512603759766, -122.73928833007812 38.42155456542969, -122.73931121826172 38.42155456542969, -122.73930358886719 38.421630859375, -122.7392578125 38.421630859375, -122.73925018310547 38.421688079833984, -122.73929595947266 38.42169189453125, -122.73928833007812 38.42176818847656, -122.73926544189453 38.42176818847656, -122.73926544189453 38.42179870605469, -122.73908996582031 38.42179489135742, -122.73908996582031 38.421756744384766, -122.73907470703125 38.4217529296875, -122.73907470703125 38.42168045043945, -122.73912811279297 38.42168045043945, -122.73912811279297 38.4216194152832, -122.73908996582031 38.4216194152832, -122.73908996582031 38.42154312133789, -122.7391128540039 38.42154312133789, -122.7391128540039 38.4215087890625), (-122.73916625976562 38.421627044677734, -122.73916625976562 38.42167282104492, -122.73921203613281 38.42167663574219, -122.73921966552734 38.421630859375, -122.73916625976562 38.421627044677734))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,101138388362,1641603601,1,0,"POLYGON ((-122.73944854736328 38.421634674072266, -122.73949432373047 38.42163848876953, -122.73948669433594 38.42166519165039, -122.73954010009766 38.42166519165039, -122.73953247070312 38.421695709228516, -122.73960876464844 38.42169952392578, -122.73961639404297 38.42167663574219, -122.73974609375 38.42168426513672, -122.73973846435547 38.421730041503906, -122.7397232055664 38.421730041503906, -122.7397232055664 38.42178726196289, -122.73973846435547 38.421783447265625, -122.73973083496094 38.42183303833008, -122.7396011352539 38.42182540893555, -122.7396011352539 38.42180252075195, -122.7395248413086 38.42179489135742, -122.7395248413086 38.42182540893555, -122.73938751220703 38.421817779541016, -122.73939514160156 38.42177200317383, -122.73941040039062 38.42177200317383, -122.73941802978516 38.421714782714844, -122.7394027709961 38.421714782714844, -122.7394027709961 38.421669006347656, -122.73944854736328 38.42167282104492, -122.73944854736328 38.421634674072266), (-122.73953247070312 38.421730041503906, -122.73953247070312 38.42176818847656, -122.7396011352539 38.42176818847656, -122.7396011352539 38.421730041503906, -122.73953247070312 38.421730041503906))","{""type"":""multipolygon""}",relation
