addr:city,addr:country,addr:full,addr:housenumber,addr:housename,addr:postcode,addr:place,addr:street,email,name,opening_hours,operator,phone,ref,url,website,building,amenity,building:flats,building:levels,building:material,building:min_level,building:use,craft,height,internet_access,landuse,office,shop,source,start_date,wikipedia,id,timestamp,version,changeset,geometry,tags,osm_type
,,,,,,,,,,,,,,,,residential,,,,,,,,10.0,,,,,,1956,,9010752265,1482598652,1,0,"POLYGON ((-118.80782318115234 34.00516891479492, -118.80781555175781 34.00516128540039, -118.80783081054688 34.00515365600586, -118.80780792236328 34.005123138427734, -118.80780029296875 34.005126953125, -118.8077621459961 34.00507354736328, -118.80786895751953 34.0050163269043, -118.80794525146484 34.005104064941406, -118.8079605102539 34.005096435546875, -118.80799102783203 34.0051383972168, -118.80797576904297 34.005149841308594, -118.8079833984375 34.00516128540039, -118.80794525146484 34.005184173583984, -118.80793762207031 34.00517654418945, -118.80787658691406 34.005210876464844, -118.80784606933594 34.00522994995117, -118.80780792236328 34.00517654418945, -118.80782318115234 34.00516891479492), (-118.807861328125 34.00508499145508, -118.80783081054688 34.00510025024414, -118.80784606933594 34.005126953125, -118.80787658691406 34.00510787963867, -118.807861328125 34.00508499145508))","{""building:units"":""2"",""ele"":""52.9"",""lacounty:ain"":""4468003013"",""lacounty:bld_id"":""201413212360000"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,residential,,,,,,,,5.9,,,,,,1963,,8990297005,1482598651,1,0,"POLYGON ((-118.80980682373047 34.005435943603516, -118.80978393554688 34.00544738769531, -118.80978393554688 34.00545120239258, -118.80968475341797 34.00550842285156, -118.80967712402344 34.0055046081543, -118.80961608886719 34.00553894042969, -118.80958557128906 34.0054931640625, -118.80964660644531 34.00545883178711, -118.8095703125 34.00536346435547, -118.80950927734375 34.00539779663086, -118.8094711303711 34.00535202026367, -118.80965423583984 34.0052490234375, -118.80980682373047 34.005435943603516), (-118.80963897705078 34.00537872314453, -118.80960845947266 34.00539779663086, -118.80961608886719 34.00541687011719, -118.80965423583984 34.00539779663086, -118.80963897705078 34.00537872314453))","{""building:units"":""4"",""ele"":""44.7"",""lacounty:ain"":""4468020001"",""lacounty:bld_id"":""316269825340"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,house,,,,,,,,8.4,,,,,,1999,,8928931279,1482598650,1,0,"POLYGON ((-118.80402374267578 34.00563430786133, -118.80392456054688 34.005584716796875, -118.8039321899414 34.005577087402344, -118.80390930175781 34.00556945800781, -118.80392456054688 34.00554656982422, -118.80387878417969 34.005523681640625, -118.80389404296875 34.0055046081543, -118.80377197265625 34.00543975830078, -118.80377960205078 34.005428314208984, -118.80375671386719 34.00541687011719, -118.80394744873047 34.005165100097656, -118.80396270751953 34.00517654418945, -118.80397033691406 34.00517272949219, -118.80413055419922 34.00525665283203, -118.80408477783203 34.005313873291016, -118.80410766601562 34.00532531738281, -118.80411529541016 34.005313873291016, -118.80421447753906 34.00536346435547, -118.80415344238281 34.00543975830078, -118.80406188964844 34.00539016723633, -118.80406951904297 34.00537872314453, -118.80404663085938 34.005367279052734, -118.80401611328125 34.00541305541992, -118.80406188964844 34.005435943603516, -118.8040542602539 34.00543975830078, -118.80414581298828 34.00548553466797, -118.80402374267578 34.00563430786133), (-118.80400848388672 34.00539779663086, -118.80396270751953 34.005374908447266, -118.803955078125 34.00539016723633, -118.80399322509766 34.00541305541992, -118.80400848388672 34.00539779663086))","{""building:units"":""1"",""ele"":""47.0"",""lacounty:ain"":""4468001004"",""lacounty:bld_id"":""317990825303"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,house,,,,,,,,4.3,,,,,,1978,,8969841754,1482598651,1,0,"POLYGON ((-118.80252075195312 34.0070686340332, -118.80244445800781 34.00708770751953, -118.80245208740234 34.007102966308594, -118.80248260498047 34.00709533691406, -118.8025131225586 34.007171630859375, -118.80228424072266 34.007232666015625, -118.80225372314453 34.00715637207031, -118.80231475830078 34.00714111328125, -118.80231475830078 34.00712585449219, -118.80225372314453 34.00714111328125, -118.8022232055664 34.00706481933594, -118.802490234375 34.00699234008789, -118.80252075195312 34.0070686340332), (-118.80239868164062 34.007102966308594, -118.80237579345703 34.00710678100586, -118.80238342285156 34.00712203979492, -118.80239868164062 34.007118225097656, -118.80239868164062 34.007102966308594))","{""building:units"":""1"",""ele"":""47.0"",""lacounty:ain"":""4466013039"",""lacounty:bld_id"":""318493825955"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,house,,,,,,,,5.8,,,,,,1973,,9024389110,1482598652,1,0,"POLYGON ((-118.7979736328125 34.007240295410156, -118.79813385009766 34.00720977783203, -118.79817199707031 34.00734329223633, -118.79801177978516 34.00737380981445, -118.7979736328125 34.007240295410156), (-118.79810333251953 34.00730514526367, -118.79808807373047 34.00725555419922, -118.79804229736328 34.007266998291016, -118.79804992675781 34.0073127746582, -118.79810333251953 34.00730514526367))","{""building:units"":""1"",""ele"":""34.2"",""lacounty:ain"":""4466009012"",""lacounty:bld_id"":""319783825979"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,school,,,,,,,,6.4,,,,,,,,9017570687,1716902743,3,0,"POLYGON ((-118.802001953125 34.01294708251953, -118.80213928222656 34.0129280090332, -118.8021240234375 34.012847900390625, -118.80201721191406 34.01286315917969, -118.80196380615234 34.0125617980957, -118.80193328857422 34.01256561279297, -118.80192565917969 34.01250457763672, -118.80205535888672 34.012489318847656, -118.80204010009766 34.012413024902344, -118.8022232055664 34.01239013671875, -118.80219268798828 34.01222610473633, -118.8022232055664 34.01222229003906, -118.80218505859375 34.01203155517578, -118.80233001708984 34.01201248168945, -118.80237579345703 34.01226043701172, -118.80236053466797 34.012264251708984, -118.80237579345703 34.01234436035156, -118.80240631103516 34.0123405456543, -118.80241394042969 34.01238250732422, -118.80240631103516 34.01238250732422, -118.80242156982422 34.01245880126953, -118.80238342285156 34.0124626159668, -118.8023910522461 34.01250076293945, -118.80237579345703 34.01250457763672, -118.80240631103516 34.01266860961914, -118.80229949951172 34.0126838684082, -118.80227661132812 34.012550354003906, -118.80209350585938 34.0125732421875, -118.80213928222656 34.01279067993164, -118.80236053466797 34.012760162353516, -118.80235290527344 34.01273727416992, -118.80243682861328 34.012725830078125, -118.80245971679688 34.012847900390625, -118.8025131225586 34.012840270996094, -118.80252838134766 34.01292037963867, -118.80235290527344 34.012943267822266, -118.80239868164062 34.01319122314453, -118.80229187011719 34.013206481933594, -118.80223846435547 34.012943267822266, -118.80213928222656 34.01295852661133, -118.80218505859375 34.01320266723633, -118.80207824707031 34.01321792602539, -118.80207061767578 34.0131950378418, -118.80204772949219 34.01319885253906, -118.802001953125 34.01294708251953), (-118.80230712890625 34.012516021728516, -118.80229949951172 34.01247024536133, -118.80226135253906 34.012474060058594, -118.8022689819336 34.01251983642578, -118.80230712890625 34.012516021728516), (-118.80231475830078 34.01289367675781, -118.80225372314453 34.012901306152344, -118.80226135253906 34.01295471191406, -118.80233001708984 34.01294708251953, -118.80231475830078 34.01289367675781), (-118.80226135253906 34.01227569580078, -118.8022232055664 34.01227951049805, -118.80225372314453 34.01240158081055, -118.80229187011719 34.01239776611328, -118.80226135253906 34.01227569580078))","{""ele"":""49.2"",""lacounty:ain"":""4466012900"",""lacounty:bld_id"":""318505828029"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,house,,,,,,,,7.6,,,,,,1992,,8976660170,1482598651,1,0,"POLYGON ((-118.79759979248047 34.012725830078125, -118.79756927490234 34.01271057128906, -118.79762268066406 34.01264572143555, -118.79761505126953 34.01264572143555, -118.79768371582031 34.01255798339844, -118.79776000976562 34.01259994506836, -118.79769134521484 34.0126838684082, -118.79768371582031 34.01268005371094, -118.79766845703125 34.012699127197266, -118.79766845703125 34.012699127197266, -118.79767608642578 34.0126953125, -118.79772186279297 34.01272201538086, -118.7977066040039 34.01274490356445, -118.79771423339844 34.012752532958984, -118.79772186279297 34.01274490356445, -118.7977294921875 34.01274871826172, -118.7977294921875 34.01274108886719, -118.79777526855469 34.01276779174805, -118.79777526855469 34.01277160644531, -118.79778289794922 34.01277542114258, -118.79774475097656 34.012821197509766, -118.79776763916016 34.01283264160156, -118.7977066040039 34.01291275024414, -118.79769134521484 34.01290512084961, -118.79768371582031 34.01291275024414, -118.79764556884766 34.01288986206055, -118.79762268066406 34.01292037963867, -118.79761505126953 34.012916564941406, -118.797607421875 34.01292037963867, -118.79757690429688 34.012901306152344, -118.79753875732422 34.01294708251953, -118.79751586914062 34.012935638427734, -118.79750061035156 34.01295471191406, -118.79749298095703 34.0129508972168, -118.79747772216797 34.012962341308594, -118.79740905761719 34.01292419433594, -118.79742431640625 34.012908935546875, -118.79740905761719 34.01290512084961, -118.79743957519531 34.012874603271484, -118.79743957519531 34.012874603271484, -118.7974624633789 34.01284408569336, -118.79747009277344 34.012847900390625, -118.7974853515625 34.01283264160156, -118.7975082397461 34.012847900390625, -118.79759979248047 34.012725830078125), (-118.7977066040039 34.012794494628906, -118.79766082763672 34.01277160644531, -118.7976303100586 34.01280975341797, -118.79767608642578 34.01283264160156, -118.7977066040039 34.012794494628906))","{""building:units"":""1"",""ele"":""40.0"",""lacounty:ain"":""4466007023"",""lacounty:bld_id"":""319950828001"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,house,,,,,,,,4.3,,,,,,1985,,8949386512,1482598650,1,0,"POLYGON ((-118.80066680908203 34.01521301269531, -118.80065155029297 34.01520919799805, -118.80065155029297 34.015167236328125, -118.80072021484375 34.01517105102539, -118.80072021484375 34.015140533447266, -118.80081176757812 34.01514434814453, -118.80081176757812 34.01516342163086, -118.80084991455078 34.01516342163086, -118.80084991455078 34.01515197753906, -118.8008804321289 34.01515197753906, -118.8008804321289 34.01516342163086, -118.80091094970703 34.015167236328125, -118.80091094970703 34.015159606933594, -118.80095672607422 34.015159606933594, -118.80095672607422 34.01523971557617, -118.80089569091797 34.015235900878906, -118.80088806152344 34.01530838012695, -118.8009033203125 34.01530838012695, -118.80089569091797 34.01532745361328, -118.80084228515625 34.015323638916016, -118.80083465576172 34.01543045043945, -118.8008041381836 34.01542663574219, -118.8008041381836 34.015403747558594, -118.80079650878906 34.015403747558594, -118.80079650878906 34.015380859375, -118.80078125 34.015380859375, -118.80078125 34.01538848876953, -118.80077362060547 34.0153923034668, -118.80076599121094 34.01539993286133, -118.80072021484375 34.01539611816406, -118.80071258544922 34.01538848876953, -118.80071258544922 34.015384674072266, -118.80071258544922 34.015357971191406, -118.8006591796875 34.015357971191406, -118.8006591796875 34.01531219482422, -118.80066680908203 34.01531219482422, -118.80066680908203 34.01521301269531), (-118.80078125 34.01530456542969, -118.80078887939453 34.01523208618164, -118.80073547363281 34.015228271484375, -118.80072784423828 34.01530075073242, -118.80078125 34.01530456542969))","{""building:units"":""1"",""ele"":""38.6"",""lacounty:ain"":""4466017010"",""lacounty:bld_id"":""319002828876"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,house,,,,,,,,4.4,,,,,,1957,,61157600163,1647469249,1,0,"MULTIPOLYGON (((-118.80821990966797 34.019771575927734, -118.80818939208984 34.01972579956055, -118.80826568603516 34.019691467285156, -118.80830383300781 34.019744873046875, -118.8082275390625 34.019779205322266, -118.80821990966797 34.019771575927734)), ((-118.80821990966797 34.019771575927734, -118.80818939208984 34.01978302001953, -118.80815887451172 34.01975631713867, -118.80818939208984 34.01973342895508, -118.80821990966797 34.019771575927734)))","{""building:units"":""1"",""ele"":""71.3"",""lacounty:ain"":""4466021018"",""lacounty:bld_id"":""316750830548"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,,,,,house,,,,,,,,6.8,,,,,,,,8942568100,1482598650,1,0,"POLYGON ((-118.79574584960938 34.01980972290039, -118.79572296142578 34.019798278808594, -118.79572296142578 34.01980209350586, -118.79570007324219 34.01979064941406, -118.79570007324219 34.0197868347168, -118.795654296875 34.0197639465332, -118.7956314086914 34.01979064941406, -118.7955322265625 34.019744873046875, -118.7955322265625 34.01974868774414, -118.79550170898438 34.01973342895508, -118.79552459716797 34.019710540771484, -118.79552459716797 34.01971435546875, -118.79556274414062 34.019657135009766, -118.79561614990234 34.019683837890625, -118.79562377929688 34.01967239379883, -118.7956314086914 34.019676208496094, -118.795654296875 34.019649505615234, -118.79558563232422 34.019615173339844, -118.79561614990234 34.01956558227539, -118.79570007324219 34.01960372924805, -118.79566955566406 34.019657135009766, -118.79566192626953 34.0196533203125, -118.79564666748047 34.019683837890625, -118.79566192626953 34.019691467285156, -118.79566955566406 34.019683837890625, -118.79569244384766 34.01969528198242, -118.79574584960938 34.019622802734375, -118.7957992553711 34.019649505615234, -118.79580688476562 34.01963806152344, -118.79582977294922 34.0196533203125, -118.79581451416016 34.01967239379883, -118.79586029052734 34.019691467285156, -118.79583740234375 34.01972579956055, -118.79586791992188 34.01974105834961, -118.7958984375 34.019691467285156, -118.79598236083984 34.01973342895508, -118.79595184326172 34.0197868347168, -118.7958755493164 34.019752502441406, -118.79583740234375 34.019813537597656, -118.79586791992188 34.01982879638672, -118.79585266113281 34.01984405517578, -118.79586029052734 34.01984786987305, -118.79585266113281 34.01986312866211, -118.79584503173828 34.019859313964844, -118.79582977294922 34.01987838745117, -118.79582214355469 34.019874572753906, -118.79581451416016 34.01988983154297, -118.79581451416016 34.0198860168457, -118.7957992553711 34.01990509033203, -118.79579162597656 34.019901275634766, -118.79578399658203 34.01991653442383, -118.79576110839844 34.01990509033203, -118.79574584960938 34.019927978515625, -118.79568481445312 34.019901275634766, -118.79574584960938 34.01980972290039), (-118.79566192626953 34.01972961425781, -118.79566955566406 34.019710540771484, -118.795654296875 34.01970672607422, -118.79564666748047 34.01972198486328, -118.79566192626953 34.01972961425781), (-118.79571533203125 34.019737243652344, -118.79570770263672 34.019744873046875, -118.79576110839844 34.019771575927734, -118.79576110839844 34.0197639465332, -118.7957534790039 34.01976013183594, -118.79581451416016 34.01966857910156, -118.79579162597656 34.01966094970703, -118.79573059082031 34.01974868774414, -118.79571533203125 34.019737243652344), (-118.79580688476562 34.01979446411133, -118.79580688476562 34.0197868347168, -118.7957992553711 34.019779205322266, -118.7957992553711 34.01978302001953, -118.79579162597656 34.019779205322266, -118.79579162597656 34.019779205322266, -118.79578399658203 34.019775390625, -118.7957763671875 34.01978302001953, -118.79580688476562 34.01979446411133), (-118.79578399658203 34.01987075805664, -118.79579162597656 34.019859313964844, -118.7957992553711 34.019859313964844, -118.79581451416016 34.01984405517578, -118.7957763671875 34.01982879638672, -118.7957534790039 34.019859313964844, -118.79578399658203 34.01987075805664))","{""ele"":""44.1"",""lacounty:ain"":""4466002013"",""lacounty:bld_id"":""320586830515"",""type"":""multipolygon""}",relation
