addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,email,name,opening_hours,operator,phone,ref,website,building,amenity,building:levels,building:material,height,internet_access,landuse,office,shop,source,start_date,wikipedia,id,timestamp,version,changeset,geometry,tags,osm_type
,,,,,,,,,,,,yes,,,,,,,,,,,,32471250132,1597340970,1,0,"POLYGON ((-87.45282745361328 33.15817642211914, -87.45278930664062 33.15817642211914, -87.4527816772461 33.1581916809082, -87.4527816772461 33.158206939697266, -87.45275115966797 33.1582145690918, -87.45267486572266 33.15822219848633, -87.4527359008789 33.15867614746094, -87.45246887207031 33.15869903564453, -87.452392578125 33.158111572265625, -87.4526596069336 33.15808868408203, -87.45266723632812 33.15815734863281, -87.45272827148438 33.15816116333008, -87.4527359008789 33.15804672241211, -87.4527816772461 33.158050537109375, -87.4527816772461 33.15801239013672, -87.45276641845703 33.15801239013672, -87.45277404785156 33.15793228149414, -87.45278930664062 33.157936096191406, -87.45279693603516 33.15785598754883, -87.4527816772461 33.15785217285156, -87.45278930664062 33.157779693603516, -87.45280456542969 33.157779693603516, -87.45281219482422 33.15766525268555, -87.45267486572266 33.157657623291016, -87.45268249511719 33.1576042175293, -87.4526138305664 33.15760040283203, -87.45262908935547 33.15743637084961, -87.45269775390625 33.15744400024414, -87.45270538330078 33.157386779785156, -87.45284271240234 33.15739822387695, -87.45285034179688 33.15728759765625, -87.45283508300781 33.15728759765625, -87.45284271240234 33.15720748901367, -87.4528579711914 33.15720748901367, -87.45286560058594 33.15711212158203, -87.4528579711914 33.157108306884766, -87.45286560058594 33.15703201293945, -87.45287322998047 33.15703582763672, -87.452880859375 33.1569709777832, -87.45313262939453 33.156986236572266, -87.45343017578125 33.157005310058594, -87.45343780517578 33.15699005126953, -87.45355224609375 33.15699768066406, -87.45355224609375 33.157012939453125, -87.45356750488281 33.157012939453125, -87.45356750488281 33.15696334838867, -87.45381164550781 33.156978607177734, -87.45381164550781 33.15703201293945, -87.45380401611328 33.157073974609375, -87.453857421875 33.15707778930664, -87.45384216308594 33.1572151184082, -87.45386505126953 33.1572151184082, -87.45386505126953 33.157264709472656, -87.45384979248047 33.1573600769043, -87.4538345336914 33.15735626220703, -87.45382690429688 33.157432556152344, -87.45381927490234 33.157447814941406, -87.45388793945312 33.15745162963867, -87.45397186279297 33.1574592590332, -87.45399475097656 33.1574592590332, -87.4540023803711 33.15739440917969, -87.45401000976562 33.157325744628906, -87.4540023803711 33.157325744628906, -87.45401000976562 33.157264709472656, -87.45401763916016 33.157264709472656, -87.45402526855469 33.15715789794922, -87.45401763916016 33.15715408325195, -87.45403289794922 33.15701675415039, -87.45404052734375 33.15701675415039, -87.45413970947266 33.15702438354492, -87.45413970947266 33.15699005126953, -87.45439147949219 33.157005310058594, -87.45439147949219 33.157039642333984, -87.45443725585938 33.15704345703125, -87.45452880859375 33.157047271728516, -87.45449829101562 33.157386779785156, -87.45439910888672 33.157379150390625, -87.45439910888672 33.15742111206055, -87.45441436767578 33.15742492675781, -87.45440673828125 33.15748977661133, -87.45440673828125 33.157527923583984, -87.45440673828125 33.15754699707031, -87.4543685913086 33.15754318237305, -87.4543685913086 33.157562255859375, -87.4543685913086 33.157596588134766, -87.45406341552734 33.15757751464844, -87.45406341552734 33.15754318237305, -87.45398712158203 33.15753936767578, -87.45399475097656 33.15751647949219, -87.45399475097656 33.15749740600586, -87.45397186279297 33.15749740600586, -87.4539566040039 33.15761947631836, -87.45394897460938 33.15769958496094, -87.45386505126953 33.15769577026367, -87.4538345336914 33.15797805786133, -87.45388793945312 33.157981872558594, -87.45393371582031 33.1579704284668, -87.4539566040039 33.15778732299805, -87.45404052734375 33.157814025878906, -87.45405578613281 33.157779693603516, -87.45409393310547 33.15768814086914, -87.45440673828125 33.15778350830078, -87.45426940917969 33.15810012817383, -87.45439910888672 33.158138275146484, -87.45431518554688 33.158329010009766, -87.45419311523438 33.158294677734375, -87.45417785644531 33.158329010009766, -87.45410919189453 33.15830612182617, -87.4541015625 33.158329010009766, -87.45393371582031 33.15827941894531, -87.45394134521484 33.15825653076172, -87.453857421875 33.158233642578125, -87.45390319824219 33.15812301635742, -87.45387268066406 33.15812301635742, -87.45387268066406 33.15812683105469, -87.45382690429688 33.15812301635742, -87.4537582397461 33.158119201660156, -87.45374298095703 33.158119201660156, -87.4537353515625 33.15816116333008, -87.45372772216797 33.15822982788086, -87.45343780517578 33.15821075439453, -87.45343780517578 33.15824890136719, -87.4533920288086 33.15824508666992, -87.45331573486328 33.158241271972656, -87.45332336425781 33.158203125, -87.45333099365234 33.15813446044922, -87.45316314697266 33.15812301635742, -87.45315551757812 33.158199310302734, -87.4531021118164 33.15819549560547, -87.4531021118164 33.158206939697266, -87.45301055908203 33.158203125, -87.45301055908203 33.1581916809082, -87.45291900634766 33.15818405151367, -87.45291137695312 33.15819549560547, -87.45282745361328 33.15818786621094, -87.45282745361328 33.15817642211914), (-87.45389556884766 33.15800094604492, -87.45388793945312 33.157981872558594, -87.45388793945312 33.15800094604492, -87.45389556884766 33.15800094604492), (-87.45303344726562 33.15797805786133, -87.45317840576172 33.157989501953125, -87.45317077636719 33.15804672241211, -87.45323944091797 33.158050537109375, -87.4532470703125 33.157958984375, -87.4533462524414 33.157962799072266, -87.4533462524414 33.15794372558594, -87.45346069335938 33.15795135498047, -87.45346069335938 33.1579704284668, -87.4535903930664 33.157981872558594, -87.4536361694336 33.157470703125, -87.4537353515625 33.15747833251953, -87.4537353515625 33.15742492675781, -87.45349884033203 33.15740966796875, -87.45350646972656 33.1573371887207, -87.4535140991211 33.15724182128906, -87.45340728759766 33.15723419189453, -87.45340728759766 33.1572151184082, -87.45310974121094 33.157196044921875, -87.45309448242188 33.15733337402344, -87.45313262939453 33.1573371887207, -87.45309448242188 33.15776824951172, -87.45305633544922 33.15776443481445, -87.45303344726562 33.15797805786133))","{""type"":""multipolygon""}",relation
,,,,,,ALDOT West Central Area Office - Tuscaloosa,,,,,,yes,,,,,,,government,,,,,11547994396,1590524460,2,0,"POLYGON ((-87.50126647949219 33.16858673095703, -87.5015640258789 33.1685676574707, -87.5015640258789 33.168521881103516, -87.50163269042969 33.16851806640625, -87.50162506103516 33.168418884277344, -87.50172424316406 33.16841125488281, -87.50170135498047 33.16815948486328, -87.5017318725586 33.16815948486328, -87.5017318725586 33.16813659667969, -87.50177001953125 33.16813659667969, -87.50176239013672 33.16798782348633, -87.5014877319336 33.16800308227539, -87.50150299072266 33.16814041137695, -87.50149536132812 33.16814041137695, -87.50149536132812 33.16815948486328, -87.50144958496094 33.16815948486328, -87.50144958496094 33.1682014465332, -87.50150299072266 33.1682014465332, -87.50151062011719 33.16828536987305, -87.50127410888672 33.16830062866211, -87.50127410888672 33.16826629638672, -87.50123596191406 33.168270111083984, -87.5011978149414 33.168270111083984, -87.50120544433594 33.168304443359375, -87.5011215209961 33.16830825805664, -87.50112915039062 33.16844940185547, -87.50122833251953 33.1684455871582, -87.50122833251953 33.168495178222656, -87.50119018554688 33.16849899291992, -87.50119018554688 33.16850662231445, -87.5011978149414 33.16854476928711, -87.50125885009766 33.168540954589844, -87.50126647949219 33.16858673095703), (-87.50129699707031 33.168487548828125, -87.50153350830078 33.16847229003906, -87.50153350830078 33.16843032836914, -87.50128936767578 33.16844940185547, -87.50129699707031 33.168487548828125))","{""government"":""transportation"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,yes,place_of_worship,,,,,,,,,,,11020663346,1530250713,1,0,"POLYGON ((-87.53495025634766 33.17226028442383, -87.53514099121094 33.17226028442383, -87.53514099121094 33.17186737060547, -87.53511047363281 33.17186737060547, -87.53511047363281 33.171836853027344, -87.53498077392578 33.171836853027344, -87.53498077392578 33.17186737060547, -87.53455352783203 33.17186737060547, -87.53455352783203 33.172203063964844, -87.53495025634766 33.172203063964844, -87.53495025634766 33.17226028442383), (-87.53491973876953 33.172080993652344, -87.53469848632812 33.172080993652344, -87.53469848632812 33.1719970703125, -87.53491973876953 33.1719970703125, -87.53491973876953 33.172080993652344))","{""religion"":""christian"",""type"":""multipolygon""}",relation
,,,,,,,,,,,,yes,,,,,,,,,,,,32187287967,1594436555,1,0,"POLYGON ((-87.48206329345703 33.18730163574219, -87.48201751708984 33.18730163574219, -87.48201751708984 33.187313079833984, -87.48182678222656 33.18730545043945, -87.48182678222656 33.187294006347656, -87.4817886352539 33.187294006347656, -87.4817886352539 33.18730545043945, -87.48153686523438 33.18729782104492, -87.48155975341797 33.186805725097656, -87.4818115234375 33.18681335449219, -87.4818115234375 33.186824798583984, -87.48184967041016 33.186824798583984, -87.48184967041016 33.18681716918945, -87.48204040527344 33.18682098388672, -87.48204040527344 33.186832427978516, -87.48208618164062 33.186832427978516, -87.48208618164062 33.186824798583984, -87.48217010498047 33.186824798583984, -87.48216247558594 33.186893463134766, -87.48229217529297 33.18689727783203, -87.48228454589844 33.18706512451172, -87.4822998046875 33.18706512451172, -87.4823226928711 33.18706512451172, -87.48233795166016 33.18706512451172, -87.48233795166016 33.187103271484375, -87.4823226928711 33.187103271484375, -87.4822998046875 33.187103271484375, -87.48228454589844 33.187103271484375, -87.4822769165039 33.18727111816406, -87.48214721679688 33.1872673034668, -87.48213958740234 33.18731689453125, -87.48206329345703 33.187313079833984, -87.48206329345703 33.18730163574219), (-87.48180389404297 33.18714141845703, -87.48213958740234 33.18715286254883, -87.48214721679688 33.1870002746582, -87.48172760009766 33.18698501586914, -87.48171997070312 33.187137603759766, -87.48180389404297 33.18714141845703))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,yes,,,,,,,,,,,,11012247133,1530037534,1,0,"POLYGON ((-87.53788757324219 33.189056396484375, -87.53789520263672 33.189056396484375, -87.53791809082031 33.18898010253906, -87.53797912597656 33.18899154663086, -87.5379867553711 33.18895721435547, -87.53792572021484 33.18894577026367, -87.53795623779297 33.188873291015625, -87.53777313232422 33.1888313293457, -87.5377426147461 33.188934326171875, -87.53785705566406 33.188961029052734, -87.53784942626953 33.18899917602539, -87.53776550292969 33.18898010253906, -87.53775787353516 33.18901062011719, -87.53752899169922 33.18895721435547, -87.5374755859375 33.18912124633789, -87.53731536865234 33.189083099365234, -87.53736877441406 33.18891143798828, -87.53713989257812 33.1888542175293, -87.53707122802734 33.18905258178711, -87.53720092773438 33.18907928466797, -87.53718566894531 33.18911361694336, -87.53717041015625 33.189109802246094, -87.53716278076172 33.18912887573242, -87.5371322631836 33.189117431640625, -87.53707122802734 33.18922805786133, -87.53750610351562 33.18939971923828, -87.53756713867188 33.18928909301758, -87.53753662109375 33.18927764892578, -87.53755187988281 33.189247131347656, -87.53787231445312 33.18931579589844, -87.53788757324219 33.18928146362305, -87.5378189086914 33.189266204833984, -87.53788757324219 33.189056396484375), (-87.53759765625 33.1892204284668, -87.53768157958984 33.189239501953125, -87.53771209716797 33.189144134521484, -87.53762817382812 33.189125061035156, -87.53759765625 33.1892204284668))","{""type"":""multipolygon""}",relation
,,,,,,Lark Tuscaloosa,,,,,,apartments,,,,,,,,,,,,12702475804,1566147798,2,0,"POLYGON ((-87.5214614868164 33.200714111328125, -87.52193450927734 33.20070266723633, -87.52194213867188 33.19987869262695, -87.52082824707031 33.199886322021484, -87.52082824707031 33.19992446899414, -87.5207290649414 33.19991683959961, -87.52072143554688 33.19997787475586, -87.52069854736328 33.19997787475586, -87.52069854736328 33.200233459472656, -87.52067565917969 33.20023727416992, -87.52067565917969 33.2003059387207, -87.52069854736328 33.2003059387207, -87.52069854736328 33.200313568115234, -87.52069854736328 33.200618743896484, -87.52064514160156 33.20061492919922, -87.52064514160156 33.20071792602539, -87.5214614868164 33.200714111328125), (-87.5214614868164 33.20055389404297, -87.52091979980469 33.2005500793457, -87.52088165283203 33.20051956176758, -87.52088165283203 33.20033645629883, -87.52091217041016 33.20030212402344, -87.52130889892578 33.20030975341797, -87.52130889892578 33.20015335083008, -87.52093505859375 33.20015335083008, -87.52086639404297 33.20009231567383, -87.52093505859375 33.20003890991211, -87.52169036865234 33.200016021728516, -87.52173614501953 33.200042724609375, -87.52174377441406 33.20013427734375, -87.5217056274414 33.20018768310547, -87.521484375 33.2001953125, -87.52149200439453 33.20033645629883, -87.5217056274414 33.200340270996094, -87.52174377441406 33.20037078857422, -87.52174377441406 33.200504302978516, -87.5217056274414 33.20054244995117, -87.5214614868164 33.20054244995117, -87.5214614868164 33.20055389404297))","{""type"":""multipolygon""}",relation
,,,,,,,,,,,,house,,,,,,,,,,,,11436577086,1533922807,1,0,"POLYGON ((-87.49214172363281 33.20109939575195, -87.4923324584961 33.20112609863281, -87.49237823486328 33.200927734375, -87.49230194091797 33.2009162902832, -87.49229431152344 33.200927734375, -87.49224090576172 33.20092010498047, -87.49221801757812 33.201011657714844, -87.4921646118164 33.20100402832031, -87.49214172363281 33.20109939575195), (-87.49226379394531 33.201019287109375, -87.49227905273438 33.201019287109375, -87.4922866821289 33.200992584228516, -87.49226379394531 33.200992584228516, -87.49226379394531 33.201019287109375))","{""type"":""multipolygon""}",relation
,,,,,,513 Rock Point,,,,,,apartments,,,,,,,,,,,,12647927120,1543882240,1,0,"POLYGON ((-87.54325866699219 33.201663970947266, -87.54328918457031 33.201663970947266, -87.54369354248047 33.201683044433594, -87.5440902709961 33.20170593261719, -87.54405975341797 33.20222091674805, -87.54373168945312 33.202205657958984, -87.54363250732422 33.20220184326172, -87.54322052001953 33.20218276977539, -87.54325866699219 33.201663970947266), (-87.54344940185547 33.20182800292969, -87.54342651367188 33.201847076416016, -87.54341888427734 33.20185852050781, -87.54342651367188 33.20185852050781, -87.54342651367188 33.20186996459961, -87.54345703125 33.201873779296875, -87.54344940185547 33.20199966430664, -87.54342651367188 33.201995849609375, -87.54341888427734 33.20201110839844, -87.54341125488281 33.20200729370117, -87.54341125488281 33.202022552490234, -87.5434341430664 33.20204544067383, -87.54344940185547 33.20204544067383, -87.54344940185547 33.20203399658203, -87.54346466064453 33.2020378112793, -87.54347229003906 33.20201110839844, -87.54360961914062 33.20201873779297, -87.54360961914062 33.20204162597656, -87.54362487792969 33.20204162597656, -87.54363250732422 33.20201110839844, -87.5436782836914 33.20201110839844, -87.5436782836914 33.20204544067383, -87.54368591308594 33.20204544067383, -87.54369354248047 33.20201873779297, -87.54383850097656 33.2020263671875, -87.54383850097656 33.202049255371094, -87.54385375976562 33.202049255371094, -87.54385375976562 33.202056884765625, -87.54386901855469 33.202056884765625, -87.54389190673828 33.2020378112793, -87.54389190673828 33.202030181884766, -87.54388427734375 33.202030181884766, -87.54388427734375 33.20201873779297, -87.54386138916016 33.2020149230957, -87.54386901855469 33.2018928527832, -87.54389953613281 33.20189666748047, -87.54389953613281 33.201881408691406, -87.54390716552734 33.20188522338867, -87.54390716552734 33.20186996459961, -87.54387664794922 33.201847076416016, -87.54386138916016 33.201847076416016, -87.54386138916016 33.20185089111328, -87.5438461303711 33.20185089111328, -87.5438461303711 33.20186996459961, -87.543701171875 33.201866149902344, -87.543701171875 33.20184326171875, -87.54368591308594 33.20184326171875, -87.54368591308594 33.20187759399414, -87.54364013671875 33.201873779296875, -87.54364013671875 33.201839447021484, -87.54362487792969 33.201839447021484, -87.54362487792969 33.20185852050781, -87.5434799194336 33.20185470581055, -87.5434799194336 33.20183181762695, -87.54346466064453 33.20183181762695, -87.54346466064453 33.20182800292969, -87.54344940185547 33.20182800292969))","{""type"":""multipolygon""}",relation
,,,,,,East Edge Apartments Bldg. 4000,,,,,,apartments,,4,,,,,,,,,,12566300731,1633362173,2,0,"POLYGON ((-87.53304290771484 33.20261001586914, -87.53303527832031 33.20246887207031, -87.53297424316406 33.20247268676758, -87.53297424316406 33.202491760253906, -87.53289794921875 33.20249557495117, -87.53289794921875 33.20248031616211, -87.53286743164062 33.20248031616211, -87.53286743164062 33.202457427978516, -87.53270721435547 33.20246887207031, -87.53271484375 33.202484130859375, -87.53268432617188 33.20248794555664, -87.53268432617188 33.20249938964844, -87.53263092041016 33.2025032043457, -87.53262329101562 33.20248794555664, -87.5325927734375 33.202491760253906, -87.5325927734375 33.20247268676758, -87.53250885009766 33.20248031616211, -87.53250885009766 33.20249557495117, -87.532470703125 33.20249938964844, -87.53247833251953 33.202510833740234, -87.5324478149414 33.2025146484375, -87.5324478149414 33.2025260925293, -87.53236389160156 33.20252990722656, -87.53236389160156 33.2025146484375, -87.53231811523438 33.202518463134766, -87.5323257446289 33.202659606933594, -87.53230285644531 33.202659606933594, -87.53231048583984 33.20269775390625, -87.53233337402344 33.20269775390625, -87.53234100341797 33.2027587890625, -87.53231811523438 33.2027587890625, -87.5323257446289 33.202796936035156, -87.53231048583984 33.202796936035156, -87.5323257446289 33.20298385620117, -87.53234100341797 33.202980041503906, -87.53234100341797 33.2030143737793, -87.53236389160156 33.2030143737793, -87.53236389160156 33.203041076660156, -87.53234100341797 33.203041076660156, -87.53234100341797 33.203086853027344, -87.5323486328125 33.203086853027344, -87.53235626220703 33.20317459106445, -87.5323486328125 33.20317459106445, -87.5323486328125 33.20321273803711, -87.53236389160156 33.20321273803711, -87.53236389160156 33.20323181152344, -87.5323715209961 33.20323181152344, -87.5323715209961 33.2032585144043, -87.53236389160156 33.20326232910156, -87.5323715209961 33.20332336425781, -87.53237915039062 33.20332336425781, -87.53239440917969 33.20345687866211, -87.5324478149414 33.203453063964844, -87.53244018554688 33.20343780517578, -87.53252410888672 33.203433990478516, -87.53252410888672 33.20344543457031, -87.53256225585938 33.20344543457031, -87.53256225585938 33.20345687866211, -87.5325927734375 33.203453063964844, -87.5325927734375 33.20346450805664, -87.53266906738281 33.203460693359375, -87.53266143798828 33.20344924926758, -87.53269958496094 33.20344924926758, -87.53269958496094 33.20344161987305, -87.53279876708984 33.203433990478516, -87.53279876708984 33.203453063964844, -87.53294372558594 33.20344161987305, -87.53294372558594 33.203426361083984, -87.5329818725586 33.20342254638672, -87.5329818725586 33.203407287597656, -87.53305053710938 33.20340347290039, -87.53305053710938 33.20342254638672, -87.53311920166016 33.20341873168945, -87.5331039428711 33.203277587890625, -87.53311920166016 33.20327377319336, -87.53311920166016 33.20322799682617, -87.53308868408203 33.20323181152344, -87.5330810546875 33.20315170288086, -87.53309631347656 33.203147888183594, -87.5330810546875 33.2029914855957, -87.53306579589844 33.20299530029297, -87.53306579589844 33.202972412109375, -87.53308868408203 33.202972412109375, -87.5330810546875 33.20294189453125, -87.53309631347656 33.202938079833984, -87.53307342529297 33.20273971557617, -87.53306579589844 33.20273971557617, -87.53306579589844 33.20271301269531, -87.53304290771484 33.20271301269531, -87.53304290771484 33.20266342163086, -87.53307342529297 33.202659606933594, -87.53306579589844 33.20261001586914, -87.53304290771484 33.20261001586914), (-87.53288269042969 33.20262145996094, -87.53287506103516 33.20262145996094, -87.53287506103516 33.20263671875, -87.53282165527344 33.202640533447266, -87.53272247314453 33.2026481628418, -87.53272247314453 33.20262908935547, -87.5326919555664 33.202632904052734, -87.5326919555664 33.20262145996094, -87.53262329101562 33.2026252746582, -87.53263092041016 33.202640533447266, -87.5325927734375 33.202640533447266, -87.5325927734375 33.2026481628418, -87.53252410888672 33.20265579223633, -87.53252410888672 33.20264434814453, -87.53248596191406 33.2026481628418, -87.53248596191406 33.202640533447266, -87.532470703125 33.20264434814453, -87.53247833251953 33.20268249511719, -87.53247833251953 33.20268249511719, -87.53248596191406 33.20271682739258, -87.53248596191406 33.202728271484375, -87.532470703125 33.202728271484375, -87.532470703125 33.20275115966797, -87.53248596191406 33.2027473449707, -87.5324935913086 33.20277786254883, -87.53250122070312 33.20277786254883, -87.53250885009766 33.202850341796875, -87.53253936767578 33.202850341796875, -87.53254699707031 33.20288848876953, -87.53254699707031 33.20289993286133, -87.53251647949219 33.20289993286133, -87.53252410888672 33.20297622680664, -87.53250885009766 33.20297622680664, -87.53251647949219 33.20301055908203, -87.5324935913086 33.20301055908203, -87.53250122070312 33.203060150146484, -87.53252410888672 33.203060150146484, -87.53253173828125 33.20310974121094, -87.53250122070312 33.20310974121094, -87.53250885009766 33.203125, -87.53253173828125 33.203121185302734, -87.53253936767578 33.20317077636719, -87.53252410888672 33.20317459106445, -87.53253173828125 33.20322036743164, -87.53252410888672 33.20322036743164, -87.53253173828125 33.20327377319336, -87.53253173828125 33.20331573486328, -87.53254699707031 33.20331573486328, -87.53254699707031 33.20330810546875, -87.53257751464844 33.20330810546875, -87.53257751464844 33.20328903198242, -87.53284454345703 33.203269958496094, -87.53286743164062 33.20326614379883, -87.53286743164062 33.20328140258789, -87.53292083740234 33.203277587890625, -87.53292846679688 33.20329284667969, -87.53295135498047 33.20329284667969, -87.53294372558594 33.2032470703125, -87.53294372558594 33.20319366455078, -87.5329360961914 33.20319366455078, -87.53292846679688 33.20314407348633, -87.53292083740234 33.203147888183594, -87.53291320800781 33.20310592651367, -87.53295135498047 33.203102111816406, -87.53294372558594 33.20307922363281, -87.53292083740234 33.20307922363281, -87.53291320800781 33.20303726196289, -87.5329360961914 33.20303726196289, -87.5329360961914 33.202980041503906, -87.53291320800781 33.202980041503906, -87.53291320800781 33.20294952392578, -87.53289794921875 33.20294952392578, -87.53289031982422 33.20287322998047, -87.53286743164062 33.202877044677734, -87.53286743164062 33.20286178588867, -87.5328598022461 33.20283126831055, -87.53289031982422 33.20283126831055, -87.53288269042969 33.2027587890625, -87.53289031982422 33.2027587890625, -87.53289031982422 33.20272445678711, -87.53290557861328 33.202720642089844, -87.53290557861328 33.20270538330078, -87.53289794921875 33.20270538330078, -87.53288269042969 33.20262145996094))","{""type"":""multipolygon""}",relation
,,,,,,East Edge Apartments Bldg. 2000,,,,,,apartments,,,,,,,,,,,,12557235414,1543613305,1,0,"POLYGON ((-87.53102111816406 33.20262145996094, -87.53152465820312 33.20258712768555, -87.53160858154297 33.2034912109375, -87.5311050415039 33.20352554321289, -87.53102111816406 33.20262145996094), (-87.53121948242188 33.2027702331543, -87.53128051757812 33.20337677001953, -87.53144836425781 33.203365325927734, -87.53138732910156 33.20275115966797, -87.53121948242188 33.2027702331543))","{""type"":""multipolygon""}",relation
